League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
ITALY - SERIE A,23/04/2023,10:00,Udinese,Cremonese,1.73,3.8,4.75
SWEDEN - ALLSVENSKAN,23/04/2023,10:00,Djurgarden,Goteborg,1.53,4.2,7.0
DENMARK - SUPERLIGA,23/04/2023,11:00,Brondby,Randers FC,1.75,3.75,4.75
SWITZERLAND - SUPER LEAGUE,23/04/2023,11:30,Lugano,Sion,1.7,4.0,4.75
NETHERLANDS - EREDIVISIE,23/04/2023,11:45,Feyenoord,Utrecht,1.36,5.0,9.0
NORWAY - ELITESERIEN,23/04/2023,12:00,Sarpsborg 08,Odd,1.73,4.2,4.0
ITALY - SERIE A,23/04/2023,13:00,AC Milan,Lecce,1.5,4.2,7.0
BELGIUM - JUPILER PRO LEAGUE,23/04/2023,13:30,Gent,Oostende,1.17,6.5,13.0
NETHERLANDS - EREDIVISIE,23/04/2023,15:00,AZ Alkmaar,Waalwijk,1.33,5.25,9.0
USA - MLS,23/04/2023,17:30,Atlanta Utd,Chicago Fire,1.65,4.0,5.0
MEXICO - LIGA MX,23/04/2023,22:05,Santos Laguna,Queretaro,1.62,4.0,5.5
