League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
ENGLAND - PREMIER LEAGUE,26/04/2023,15:30,Nottingham,Brighton,6.0,4.2,1.53
ENGLAND - PREMIER LEAGUE,26/04/2023,15:45,West Ham,Liverpool,3.9,3.9,1.85
