League,N1,N2,N3
BRAZIL - BRASILEIRO WOMEN,Under45,Under45,Under45
CAMEROON - ELITE ONE,Under45,Under45,Under45
CHILE - PRIMERA DIVISION,Under45,Under45,Under45
COLOMBIA - PRIMERA A,Under45,Under45,Under45
INDIA - I-LEAGUE,Under45,Over45,Over45
ITALY - SERIE C,Under45,Under45,Under45
MEXICO - LIGA DE EXPANSION MX,Under45,Under45,Under45
NORTHERN IRELAND - NIFL CHAMPIONSHIP,Under45,Under45,Under45
PANAMA - LPF,Under45,Over45,Under45
URUGUAY - PRIMERA DIVISION,Under45,Under45,Under45
VENEZUELA - LIGA FUTVE,Under45,Under45,Under45
