League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
MEXICO - LIGA MX,29/04/2023,00:05,Juarez,Club America,5.0,3.75,1.73
ENGLAND - CHAMPIONSHIP,29/04/2023,11:00,Hull,Swansea,3.6,3.5,2.0
SPAIN - LALIGA,29/04/2023,11:15,Elche,Rayo Vallecano,4.75,3.5,1.8
TURKEY - SUPER LIG,29/04/2023,13:00,Sivasspor,Fenerbahce,4.33,3.75,1.7
FRANCE - LIGUE 2,29/04/2023,14:00,Valenciennes,Bordeaux,4.75,3.4,1.8
