League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
South Korea K League 2,2023-07-03,07:00:00,19,Cheongju,Seongnam,2.38,3.1,2.78,1.07,6.8,1.28,3.3,2.09,1.61,3.4,1.27,5.8,1.1,1.8,1.91
South Korea K League 2,2023-07-03,07:00:00,19,Jeonnam Dragons,Seoul E-Land,2.08,3.25,3.25,1.03,8.5,1.27,3.4,2.09,1.61,3.5,1.25,5.8,1.1,1.8,1.91
China Chinese Super League,2023-07-03,08:35:00,14,Shenzhen,Wuhan Three Towns,9.4,6.35,1.2,0.0,0.0,0.0,0.0,1.38,2.66,1.95,1.9,0.0,0.0,2.0,1.75
China Chinese Super League,2023-07-03,08:35:00,14,Shandong Luneng,Shanghai SIPG,2.33,3.3,2.72,0.0,0.0,0.0,0.0,1.76,1.88,0.0,0.0,0.0,0.0,1.7,2.05
China Chinese Super League,2023-07-03,08:35:00,14,Chengdu Better City FC,Beijing Guoan,1.89,3.35,3.65,0.0,0.0,0.0,0.0,1.95,1.7,0.0,0.0,0.0,0.0,1.75,2.0
China Chinese Super League,2023-07-03,08:35:00,14,Changchun Yatai,Henan Jianye,1.88,3.45,3.6,0.0,0.0,0.0,0.0,1.73,1.92,0.0,0.0,0.0,0.0,1.7,2.05
Chile Primera División,2023-07-03,13:00:00,12,Huachipato,Magallanes,1.71,3.45,4.45,1.05,11.0,1.3,3.5,1.81,1.82,3.3,1.33,6.5,1.11,1.78,2.0
Sweden Allsvenskan,2023-07-03,14:00:00,13,Elfsborg,Hammarby,1.6,3.9,4.8,1.03,17.0,1.2,4.5,1.62,2.11,2.33,1.53,4.5,1.2,1.67,2.1
Sweden Allsvenskan,2023-07-03,14:00:00,13,Mjällby,Kalmar,2.46,3.2,2.7,1.09,8.0,1.48,2.7,2.16,1.6,4.75,1.19,10.0,1.05,2.0,1.75
Norway Eliteserien,2023-07-03,14:00:00,12,Stabæk,Strømsgodset,2.07,3.4,3.2,1.04,14.0,1.24,4.2,1.75,1.93,3.05,1.38,5.6,1.14,1.7,2.05
Uruguay Primera División,2023-07-03,15:00:00,4,Liverpool FC Montevideo,Deportivo Maldonado,1.86,3.45,3.3,1.04,13.5,1.25,3.6,1.68,1.87,2.87,1.36,5.0,1.13,1.75,1.95
