League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Tunisia Ligue 1,2023-06-23,12:30:00,12,Tataouine,Olympique Béja,3.3,2.8,2.25,1.12,5.25,1.57,2.27,2.7,1.33,6.5,1.09,16.0,1.01,2.35,1.56
Tunisia Ligue 1,2023-06-23,12:30:00,12,Monastir,Ben Guerdane,1.9,3.15,4.1,1.13,4.8,1.67,2.08,2.86,1.3,6.0,1.1,18.0,1.01,2.75,1.43
Uruguay Primera División,2023-06-23,15:00:00,3,Liverpool FC Montevideo,Nacional,5.36,8.84,1.23,1.05,9.0,1.25,3.75,1.8,1.95,2.75,1.4,5.0,1.14,1.67,2.1
Argentina Prim B Nacional,2023-06-23,15:30:00,22,Defensores Unidos,Club Atlético Güemes,2.54,2.71,2.9,1.13,6.02,1.53,2.35,2.75,1.4,5.71,1.14,10.2,1.01,2.23,1.65
Republic of Ireland Premier Division,2023-06-23,15:45:00,21,Bohemians,Shamrock Rovers,2.51,3.91,2.2,1.08,7.0,1.36,2.95,2.13,1.71,4.0,1.22,7.5,1.07,1.95,1.8
Republic of Ireland Premier Division,2023-06-23,15:45:00,21,Derry City,Cork City,1.53,5.49,3.67,1.06,8.0,1.35,3.0,2.05,1.77,3.75,1.25,6.5,1.1,2.5,1.5
Republic of Ireland Premier Division,2023-06-23,15:45:00,21,Drogheda United,Dundalk,3.56,7.77,1.42,1.06,8.0,1.33,3.2,2.04,1.78,3.6,1.28,6.5,1.1,1.75,2.0
Republic of Ireland Premier Division,2023-06-23,15:45:00,21,St Patrick's Athl.,Shelbourne,1.54,4.38,4.28,1.06,8.0,1.33,3.2,2.05,1.77,3.6,1.25,6.5,1.1,1.95,1.8
Republic of Ireland Premier Division,2023-06-23,15:45:00,21,UCD,Sligo Rovers,3.04,7.09,1.56,1.07,7.5,1.3,3.3,2.04,1.78,3.5,1.28,6.5,1.1,2.2,1.62
Bolivia LFPB,2023-06-23,16:00:00,17,Vaca Díez,Aurora,2.88,3.3,2.25,1.0,14.0,1.21,3.8,1.75,1.92,2.75,1.38,5.0,1.14,1.59,2.21
Argentina Primera División,2023-06-23,19:00:00,21,Huracán,Newell's Old Boys,2.65,2.85,3.0,1.14,6.0,1.68,2.2,3.0,1.38,6.5,1.11,13.0,1.02,2.4,1.55
Brazil Serie B,2023-06-23,19:00:00,13,Atlético GO,Ponte Preta,2.02,2.23,6.01,1.04,7.9,1.38,2.9,2.15,1.7,4.0,1.22,7.3,1.05,2.0,1.73
Uruguay Primera División,2023-06-23,19:00:00,3,La Luz,Danubio,2.9,3.06,2.29,1.07,7.5,1.36,3.0,2.1,1.69,3.5,1.29,6.5,1.1,1.8,1.91
Venezuela Primera División,2023-06-23,19:15:00,16,Metropolitanos,Portuguesa,1.9,3.0,4.0,1.07,6.4,1.49,2.45,2.4,1.48,4.75,1.13,9.5,1.01,2.15,1.63
Bolivia LFPB,2023-06-23,20:00:00,17,Municipal Vinto,Real Tomayapo,1.75,3.4,4.2,1.04,16.0,1.21,4.05,1.68,2.01,2.65,1.41,4.65,1.14,1.73,2.0
Ecuador Primera Categoría Serie A,2023-06-23,21:00:00,15,SD Aucas,Orense SC,1.85,3.45,3.7,1.07,7.75,1.35,2.9,2.03,1.73,3.6,1.25,7.0,1.08,1.85,1.82
Ecuador Primera Categoría Serie A,2023-06-23,21:00:00,15,SD Aucas,Orense SC,1.85,3.45,3.7,1.07,7.75,1.35,2.9,2.03,1.73,3.6,1.25,7.0,1.08,1.85,1.82
Argentina Primera División,2023-06-23,21:30:00,21,Argentinos Juniors,Defensa y Justicia,1.87,3.1,3.9,1.07,8.5,1.42,2.85,2.25,1.57,4.33,1.22,8.5,1.06,2.0,1.75
Venezuela Primera División,2023-06-23,21:30:00,16,Hermanos Colmenares,Mineros de Guayana,1.8,3.5,3.9,0.0,0.0,0.0,0.0,1.85,1.85,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera B,2023-06-23,22:00:00,0,Llaneros,Patriotas Boyacá,2.1,3.0,3.4,1.13,5.88,1.57,2.25,2.65,1.44,5.91,1.12,13.0,1.02,2.23,1.55
Peru Primera División,2023-06-23,22:00:00,1,Alianza Lima,Atlético Grau,2.29,1.87,7.11,1.02,12.0,1.2,3.9,1.71,2.06,2.65,1.42,4.5,1.17,1.9,1.8
