League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Mexico Liga MX,2023-05-12,00:10:00,0,Tigres UANL,Toluca,1.89,3.77,3.62,1.03,17.5,1.2,4.5,1.58,2.25,2.6,1.5,4.5,1.21,1.57,2.25
Australia A-League,2023-05-12,06:45:00,0,Sydney FC,Melbourne City FC,2.51,3.55,2.39,1.03,17.0,1.13,4.9,1.63,2.19,2.35,1.6,3.72,1.22,1.44,2.63
Japan J1 League,2023-05-12,07:30:00,13,Tokyo,Kawasaki Frontale,2.68,3.16,2.27,1.03,8.4,1.3,3.3,1.98,1.9,3.3,1.3,5.8,1.09,1.72,2.05
Bulgaria First League,2023-05-12,11:00:00,1,OFK Pirin,Hebar 1918,1.9,3.1,3.75,1.08,6.5,1.44,2.59,2.35,1.53,4.24,1.17,7.8,1.05,1.9,1.8
Romania Liga I,2023-05-12,11:30:00,8,Voluntari,Botoşani,2.04,3.06,3.02,1.1,6.5,1.49,2.55,2.21,1.59,4.2,1.2,8.0,1.06,2.0,1.75
Poland Ekstraklasa,2023-05-12,13:00:00,32,Piast Gliwice,Korona Kielce,1.84,3.35,3.54,1.06,8.75,1.32,3.1,2.07,1.67,3.4,1.27,6.5,1.09,1.87,1.82
Croatia Prva HNL,2023-05-12,13:00:00,34,Slaven Koprivnica,Lokomotiva Zagreb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria First League,2023-05-12,13:15:00,1,Beroe,Septemvri Sofia,1.85,3.1,3.9,1.06,7.0,1.33,3.0,2.15,1.62,3.8,1.22,6.8,1.07,1.9,1.8
Germany 2. Bundesliga,2023-05-12,13:30:00,32,Sandhausen,Hansa Rostock,2.73,3.1,2.42,1.06,8.0,1.33,3.2,1.91,1.97,3.6,1.28,6.0,1.11,1.8,1.95
Germany 2. Bundesliga,2023-05-12,13:30:00,32,Magdeburg,Nürnberg,2.18,3.26,2.77,1.04,10.0,1.25,3.75,1.7,2.08,2.95,1.38,4.75,1.15,1.62,2.2
Slovakia Super Liga,2023-05-12,13:30:00,9,Zlaté Moravce,Trenčín,2.35,3.1,2.7,1.05,9.0,1.29,3.5,1.88,1.92,3.0,1.36,5.5,1.12,1.7,2.05
