League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Japan J2 League,2023-07-23,06:00:00,27,Mito Hollyhock,Omiya Ardija,2.1,3.5,3.42,1.04,8.5,1.25,4.01,1.79,2.02,2.75,1.4,5.2,1.15,1.67,2.1
Japan J2 League,2023-07-23,07:00:00,27,Vegalta Sendai,Tokyo Verdy,3.22,3.38,2.24,1.03,8.5,1.29,3.3,1.91,1.89,3.1,1.32,5.3,1.12,1.73,2.0
Japan J2 League,2023-07-23,07:00:00,27,ThespaKusatsu Gunma,Jubilo Iwata,4.9,3.94,1.68,1.01,11.0,1.24,3.55,1.83,1.97,2.8,1.37,5.7,1.1,1.83,1.83
South Korea K League 2,2023-07-23,07:00:00,23,Cheongju,Seoul E-Land,2.86,3.3,2.4,1.06,10.0,1.32,3.15,2.03,1.78,3.4,1.28,6.25,1.09,1.78,1.95
South Korea K League 2,2023-07-23,07:30:00,23,Gyeongnam,Sangju Sangmu,3.09,3.56,2.15,1.05,9.0,1.25,3.75,1.74,2.09,2.75,1.4,5.5,1.12,1.67,2.1
South Korea K League 2,2023-07-23,07:30:00,23,Asan Mugunghwa,Bucheon 1995,2.36,3.3,3.05,1.07,7.5,1.33,3.25,2.0,1.73,3.5,1.29,6.5,1.1,1.8,1.91
South Korea K League 2,2023-07-23,08:00:00,23,Cheonan City,Seongnam,3.36,3.35,2.11,1.08,7.0,1.4,2.75,2.03,1.78,4.0,1.22,7.5,1.07,1.81,1.95
China Chinese Super League,2023-07-23,08:35:00,18,Wuhan Three Towns,Meizhou Hakka,1.42,4.92,6.95,1.02,12.0,1.15,4.7,1.54,2.32,2.38,1.53,3.9,1.2,1.78,2.0
Finland Veikkausliiga,2023-07-23,09:00:00,17,Lahti,Mariehamn,2.1,3.52,3.4,1.06,7.5,1.33,3.0,1.9,1.9,3.6,1.25,6.5,1.08,1.85,1.85
9545,2023-07-23,09:00:00,1,AGF,Vejle,1.7,3.6,4.75,1.05,11.5,1.29,3.55,2.05,1.8,3.5,1.3,7.0,1.11,1.95,1.8
