League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Mexico Ascenso MX,2023-05-21,00:05:00,0,Tapatío,Morelia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan J2 League,2023-05-21,02:00:00,17,Montedio Yamagata,Blaublitz Akita,2.88,3.15,2.55,1.07,7.5,1.33,3.1,2.04,1.78,3.5,1.28,6.5,1.1,1.75,2.0
Japan J2 League,2023-05-21,02:00:00,17,Omiya Ardija,Vegalta Sendai,2.82,3.24,2.54,1.06,8.0,1.28,3.5,1.9,1.9,3.2,1.33,5.5,1.12,1.68,2.1
Japan J2 League,2023-05-21,02:00:00,17,JEF United,Tochigi,2.2,3.15,3.54,1.1,6.5,1.5,2.55,2.18,1.68,4.5,1.18,8.0,1.06,2.0,1.75
Japan J2 League,2023-05-21,02:00:00,17,Machida Zelvia,Shimizu S-Pulse,2.13,3.24,3.62,1.03,8.3,1.28,3.26,2.04,1.78,3.14,1.3,5.85,1.08,1.71,2.06
Japan J2 League,2023-05-21,02:00:00,17,Zweigen Kanazawa,Ventforet Kofu,2.92,3.08,2.56,1.08,7.0,1.36,2.95,2.15,1.7,3.75,1.25,7.0,1.08,1.83,1.9
Japan J2 League,2023-05-21,02:00:00,17,Fujieda MYFC,Tokushima Vortis,2.15,3.44,3.34,1.04,10.0,1.22,4.0,1.72,2.12,2.62,1.44,4.75,1.15,1.6,2.25
Japan J2 League,2023-05-21,02:00:00,17,Renofa Yamaguchi,Tokyo Verdy,3.64,3.24,2.12,1.07,7.5,1.33,3.1,2.04,1.78,3.5,1.28,6.5,1.1,1.8,1.95
Japan J2 League,2023-05-21,02:00:00,17,Oita Trinita,V-Varen Nagasaki,1.99,3.4,3.86,1.06,8.0,1.3,3.4,1.9,1.9,3.25,1.33,6.0,1.11,1.73,2.0
Japan J2 League,2023-05-21,03:00:00,17,Mito Hollyhock,Roasso Kumamoto,2.89,3.2,2.54,1.07,7.5,1.33,3.1,2.05,1.77,3.5,1.28,6.5,1.1,1.75,2.0
Japan J2 League,2023-05-21,04:00:00,17,Jubilo Iwata,Iwaki,1.76,3.84,4.42,1.02,9.5,1.26,3.35,1.83,1.97,3.35,1.26,5.5,1.08,1.8,1.91
South Korea K League 2,2023-05-21,04:00:00,14,Gyeongnam,Busan I'Park,2.3,3.25,3.13,1.06,9.5,1.35,2.95,2.15,1.67,3.7,1.24,6.75,1.07,1.83,1.83
South Korea K League 1,2023-05-21,04:30:00,14,Gangwon,Pohang Steelers,3.54,3.1,2.22,1.08,6.5,1.37,2.8,2.28,1.58,4.0,1.2,6.8,1.07,1.91,1.8
South Korea K League 1,2023-05-21,06:00:00,14,Suwon Bluewings,Ulsan,4.42,3.74,1.78,1.06,8.0,1.3,3.3,1.93,1.87,3.3,1.3,6.0,1.11,1.8,1.91
South Korea K League 2,2023-05-21,06:30:00,14,Sangju Sangmu,Cheongju,1.34,4.9,8.3,1.03,15.0,1.22,3.8,1.7,2.05,2.7,1.4,4.75,1.15,2.05,1.7
Portugal LigaPro,2023-05-21,07:00:00,33,Estrela Amadora,CD Nacional,1.61,3.96,5.05,1.04,10.0,1.22,4.0,1.81,2.0,2.95,1.4,5.0,1.13,1.75,2.0
South Korea K League 1,2023-05-21,07:00:00,14,Jeonbuk Motors,Suwon,1.71,3.94,4.66,1.04,8.5,1.2,3.9,1.81,2.0,2.9,1.35,4.8,1.15,1.73,2.0
Japan J2 League,2023-05-21,07:00:00,17,Fagiano Okayama,ThespaKusatsu Gunma,1.8,3.4,4.5,1.07,9.2,1.37,2.95,2.2,1.65,3.8,1.24,7.2,1.07,2.0,1.73
Poland Ekstraklasa,2023-05-21,07:30:00,33,Śląsk Wrocław,Miedź Legnica,1.53,3.8,6.5,1.07,7.5,1.38,2.8,2.15,1.65,4.0,1.22,7.5,1.07,2.1,1.65
Italy Serie A,2023-05-21,07:30:00,36,Lecce,Spezia,1.97,3.42,3.92,1.08,7.0,1.4,2.7,2.19,1.68,4.2,1.2,8.0,1.06,1.95,1.8
France Ligue 1,2023-05-21,08:00:00,36,Ajaccio,Rennes,7.5,4.2,1.45,1.07,9.7,1.39,3.02,1.9,1.9,4.02,1.25,8.0,1.08,2.2,1.62
Scotland Premiership,2023-05-21,08:00:00,36,Hibernian,Rangers,5.35,4.34,1.57,1.02,17.0,1.2,4.5,1.6,2.25,2.6,1.47,4.75,1.18,1.75,2.0
Germany 2. Bundesliga,2023-05-21,08:30:00,33,Nürnberg,Hansa Rostock,2.2,3.38,3.28,1.06,8.0,1.33,3.1,2.05,1.77,3.75,1.25,6.5,1.1,1.83,1.83
Germany 2. Bundesliga,2023-05-21,08:30:00,33,Fortuna Düsseldorf,Hannover 96,1.67,4.14,4.66,1.02,13.0,1.17,6.15,1.56,2.12,2.23,1.66,3.75,1.25,1.5,2.5
Germany 2. Bundesliga,2023-05-21,08:30:00,33,Karlsruher SC,Kaiserslautern,2.15,3.56,3.24,1.03,11.0,1.18,4.5,1.83,1.98,2.25,1.57,4.33,1.2,1.57,2.25
Belgium Pro League,2023-05-21,08:30:00,4,Club Brugge,Royal Antwerp FC,2.37,3.6,2.84,1.03,15.0,1.22,4.2,1.71,2.14,2.85,1.42,5.0,1.16,1.58,2.2
Spain La Liga,2023-05-21,09:00:00,35,Rayo Vallecano,RCD Espanyol,2.01,3.36,3.86,1.06,8.0,1.33,3.2,2.15,1.7,3.5,1.29,7.0,1.09,1.8,1.95
