League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
South Korea K League 1,2023-07-21,07:30:00,24,Ulsan,Jeju United,1.55,3.67,4.68,1.02,16.0,1.18,4.5,1.6,2.19,2.5,1.48,4.5,1.18,1.6,2.25
South Korea K League 1,2023-07-21,07:30:00,24,Pohang Steelers,Jeonbuk Motors,2.34,2.94,2.76,1.05,8.0,1.3,3.2,1.9,1.8,3.3,1.29,6.0,1.09,1.75,1.95
China Chinese Super League,2023-07-21,08:35:00,18,Shanghai SIPG,Shijiazhuang Ever Bright,1.26,5.78,11.41,1.03,19.25,1.19,4.82,1.59,2.38,2.38,1.59,4.3,1.22,1.95,1.81
China Chinese Super League,2023-07-21,08:35:00,18,Henan Jianye,Nantong Zhiyun,2.02,3.09,3.45,1.03,9.75,1.36,3.0,2.0,1.67,3.75,1.24,7.5,1.06,1.85,1.87
China Chinese Super League,2023-07-21,08:35:00,18,Tianjin Teda,Shenzhen,1.16,6.82,15.47,1.01,18.0,1.12,4.7,1.5,2.41,2.27,1.56,3.75,1.19,2.3,1.51
9622,2023-07-21,12:30:00,2,Sepsi,U Craiova 1948,2.01,3.2,3.5,1.06,10.5,1.33,3.1,2.17,1.49,3.75,1.25,6.9,1.09,1.9,1.83
9551,2023-07-21,13:00:00,2,CSKA 1948 Sofia,OFK Pirin,1.11,6.82,13.64,1.03,12.5,1.2,4.2,1.57,2.03,2.75,1.42,4.6,1.17,2.75,1.4
9553,2023-07-21,13:00:00,1,Warta Poznań,Pogoń Szczecin,3.44,3.01,1.97,1.04,10.0,1.33,3.1,1.96,1.75,3.6,1.26,7.0,1.08,1.91,1.91
Sweden Allsvenskan,2023-07-21,14:00:00,16,Brommapojkarna,Hammarby,2.56,3.23,2.33,1.01,10.0,1.21,3.82,1.7,2.03,2.71,1.39,4.9,1.13,1.62,2.2
9545,2023-07-21,14:00:00,1,Midtjylland,Hvidovre,1.21,4.85,10.17,1.01,16.5,1.22,4.3,1.6,2.25,2.8,1.43,5.0,1.17,2.1,1.67
9567,2023-07-21,14:00:00,1,Hillerød,HB Køge,2.18,3.03,2.63,1.03,15.75,1.2,4.08,1.76,1.78,2.57,1.45,4.48,1.17,1.57,2.25
9567,2023-07-21,14:00:00,1,Vendsyssel,SønderjyskE,3.07,3.21,1.87,1.02,18.5,1.17,4.42,1.67,1.99,2.39,1.51,4.1,1.2,1.5,2.5
Uruguay Primera División,2023-07-21,15:00:00,7,Fénix,Liverpool FC Montevideo,3.15,3.65,2.07,1.04,10.5,1.25,3.6,1.91,1.85,2.9,1.36,5.25,1.13,1.67,2.1
9542,2023-07-21,15:00:00,1,Dinamo Zagreb,Hajduk Split,1.66,3.74,4.75,1.06,8.0,1.3,3.4,1.84,1.89,3.25,1.33,5.5,1.12,1.85,1.85
Peru Primera División,2023-07-21,15:00:00,5,Unión Comercio,César Vallejo,2.8,3.0,2.6,1.05,10.0,1.3,3.4,2.03,1.62,3.4,1.3,6.5,1.1,1.75,2.05
9551,2023-07-21,15:15:00,2,CSKA Sofia,Levski Krumovgrad,1.22,5.25,9.34,1.03,11.5,1.22,4.0,1.63,1.94,2.8,1.4,4.8,1.15,2.3,1.53
9553,2023-07-21,15:30:00,1,Legia Warszawa,ŁKS Łódź,1.24,4.77,8.6,1.01,12.0,1.17,4.3,1.65,2.11,2.8,1.4,5.0,1.13,2.0,1.75
9622,2023-07-21,15:30:00,2,UTA Arad,CFR Cluj,2.9,2.81,2.13,1.06,9.0,1.38,2.9,2.23,1.47,4.0,1.22,8.5,1.07,1.91,1.8
Colombia Categoria Primera A,2023-07-21,18:00:00,2,Deportes Tolima,Once Caldas,1.85,2.73,4.69,1.08,8.5,1.32,3.1,2.08,1.62,3.7,1.22,8.0,1.07,1.83,1.83
Venezuela Primera División,2023-07-21,18:00:00,20,Metropolitanos,Angostura,1.67,3.5,4.5,1.02,8.8,1.29,3.18,2.1,1.67,3.28,1.27,6.3,1.07,1.86,1.8
Chile Primera División,2023-07-21,19:00:00,18,Unión La Calera,Magallanes,2.09,3.2,3.55,1.05,11.0,1.3,3.5,1.93,1.93,3.3,1.33,6.5,1.11,1.75,2.03
Brazil Serie B,2023-07-21,19:00:00,19,CRB,Ponte Preta,2.05,2.95,4.0,1.11,5.75,1.49,2.45,2.48,1.44,4.75,1.16,10.0,1.05,2.15,1.61
Uruguay Primera División,2023-07-21,20:00:00,7,La Luz,Torque,2.48,3.2,2.75,1.05,8.0,1.3,3.2,1.95,1.85,3.2,1.3,5.75,1.1,1.75,2.0
Paraguay Division Profesional,2023-07-21,20:00:00,3,Tacuary,Guaraní,2.71,3.3,2.24,0.0,0.0,0.0,0.0,2.02,1.78,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera A,2023-07-21,20:15:00,2,La Equidad,Envigado,1.83,3.12,3.94,1.07,7.0,1.38,2.8,2.07,1.62,3.8,1.22,7.0,1.07,2.0,1.73
Venezuela Primera División,2023-07-21,20:15:00,20,Zamora,Rayo Zuliano,2.05,3.1,3.4,1.03,8.2,1.26,3.34,1.93,1.88,2.98,1.32,5.55,1.1,1.68,2.01
Chile Primera B,2023-07-21,21:30:00,19,Deportes Iquique,Barnechea,1.78,3.6,3.55,1.03,16.0,1.19,4.13,1.67,2.1,2.29,1.55,4.4,1.17,1.61,2.25
Peru Primera División,2023-07-21,21:45:00,5,Cienciano,Sport Huancayo,2.29,3.1,3.2,1.04,9.5,1.31,3.18,1.93,1.93,3.25,1.29,6.5,1.08,1.73,2.05
USA USL Championship,2023-07-21,22:00:00,0,Tulsa Roughnecks,Rio Grande Valley,2.02,3.5,3.15,1.05,9.0,1.29,3.5,1.85,1.87,3.0,1.36,5.5,1.12,1.69,2.11
9701,2023-07-21,22:05:00,1,Venados,Tlaxcala,2.25,3.0,3.0,1.08,6.5,1.42,2.75,2.3,1.6,4.2,1.2,7.5,1.06,1.95,1.8
Colombia Categoria Primera A,2023-07-21,22:30:00,2,Deportivo Pasto,Alianza Petrolera,2.06,3.25,3.25,1.07,7.75,1.36,2.87,2.15,1.61,3.8,1.22,7.0,1.07,1.91,1.85
Canada Canadian Premier League,2023-07-21,23:00:00,16,Pacific FC,Forge FC,2.5,3.3,2.7,0.0,0.0,0.0,0.0,2.1,1.67,0.0,0.0,0.0,0.0,2.1,1.67
