League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
SLOVENIA - PRVA LIGA,03/05/2023,12:30,Radomlje,O. Ljubljana,4.98,4.0,1.65
ITALY - SERIE A,03/05/2023,13:00,Salernitana,Fiorentina,4.75,3.75,1.75
SLOVENIA - PRVA LIGA,03/05/2023,15:15,ND Gorica,Celje,4.28,3.54,1.85
ITALY - SERIE A,03/05/2023,16:00,Verona,Inter,5.5,3.75,1.67
