League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
GERMANY - BUNDESLIGA,27/05/2023,10:30,Union Berlin,Werder Bremen,1.44,4.75,7.0
NETHERLANDS - EREDIVISIE,27/05/2023,11:30,Willem II,Venlo,1.45,4.2,7.0
SERBIA - SUPER LIGA,27/05/2023,12:00,Mladost,Mladost GAT,1.6,3.54,6.1
POLAND - EKSTRAKLASA,27/05/2023,12:30,Lech Poznan,Jagiellonia,1.3,4.75,7.0
POLAND - EKSTRAKLASA,27/05/2023,12:30,Legia,Slask Wroclaw,1.67,4.0,4.0
POLAND - EKSTRAKLASA,27/05/2023,12:30,Rakow,Zaglebie,1.44,4.5,5.75
SPAIN - LALIGA2,27/05/2023,13:30,Malaga,UD Ibiza,1.6,3.75,6.0
FRANCE - LIGUE 1,27/05/2023,16:00,Lyon,Reims,1.57,4.75,5.0
BRAZIL - SERIE A,27/05/2023,16:00,Fortaleza,Vasco,1.73,3.8,4.5
FRANCE - LIGUE 1,27/05/2023,16:00,Marseille,Brest,1.36,5.25,7.0
