League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
PORTUGAL - LIGA PORTUGAL 2,14/05/2023,07:00,Nacional,SC Farense,3.75,3.4,1.91
FRANCE - LIGUE 1,14/05/2023,08:00,Clermont,Lyon,4.33,3.75,1.8
GERMANY - 2. BUNDESLIGA,14/05/2023,08:30,Hannover,Darmstadt,4.0,4.0,1.83
GERMANY - 2. BUNDESLIGA,14/05/2023,08:30,Regensburg,Hamburger SV,4.0,4.0,1.75
ITALY - SERIE A,14/05/2023,10:00,Monza,Napoli,4.5,3.6,1.8
CROATIA - HNL,14/05/2023,12:00,Varazdin,Rijeka,4.2,3.5,1.75
