League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
SPAIN - LALIGA,23/05/2023,14:30,Real Sociedad,Almeria,1.44,4.5,7.0
NETHERLANDS - EREDIVISIE,23/05/2023,16:00,Breda,Maastricht,1.5,4.2,5.0
