League,N1,N2,N3
ARMENIA - PREMIER LEAGUE,H,H,A
AZERBAIJAN - PREMIER LEAGUE,H,A,A
BRAZIL - COPA DO BRASIL,D,D,H
COLOMBIA - PRIMERA A,A,A,H
COSTA RICA - PRIMERA DIVISION,A,H,H
ENGLAND - FA CUP,H,A,H
INDIA - I-LEAGUE,A,H,D
INDIA - ISL,H,H,A
INDONESIA - LIGA 1,H,H,D
JAMAICA - PREMIER LEAGUE,H,D,D
MEXICO - LIGA DE EXPANSION MX,H,D,D
MEXICO - LIGA MX,D,H,A
MONTENEGRO - PRVA CRNOGORSKA LIGA,D,H,A
NICARAGUA - LIGA PRIMERA,H,H,D
NIGERIA - NPFL,A,A,D
POLAND - DIVISION 1,D,H,A
POLAND - EKSTRAKLASA,D,D,H
PORTUGAL - LIGA PORTUGAL 2,A,H,A
ROMANIA - LIGA 1,H,D,A
SCOTLAND - PREMIERSHIP,A,H,A
SOUTH AMERICA - COPA LIBERTADORES,A,A,D
SWITZERLAND - CHALLENGE LEAGUE,D,D,A
VIETNAM - V.LEAGUE 1,D,H,A
