League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Paraguay Division Profesional,2023-05-22,11:00:00,19,Guaraní,Sportivo Trinidense,2.18,3.25,3.0,0.0,0.0,0.0,0.0,1.85,1.91,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay Division Profesional,2023-05-22,11:00:00,19,Resistencia,Tacuary,2.33,3.2,2.8,0.0,0.0,0.0,0.0,2.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0
Finland Veikkausliiga,2023-05-22,12:00:00,8,Haka,VPS,1.85,3.6,4.1,1.08,7.0,1.4,2.75,2.1,1.74,3.75,1.25,7.0,1.08,1.95,1.8
Finland Veikkausliiga,2023-05-22,12:00:00,8,Oulu,Honka,3.15,3.2,2.3,1.07,7.5,1.4,2.75,2.28,1.63,3.75,1.25,7.5,1.07,1.91,1.91
Finland Veikkausliiga,2023-05-22,12:00:00,8,Inter Turku,Mariehamn,1.7,3.9,4.6,1.06,8.0,1.33,3.25,1.98,1.83,3.25,1.33,6.0,1.11,1.91,1.91
Finland Veikkausliiga,2023-05-22,12:00:00,8,KTP,SJK,3.55,3.5,2.0,1.06,8.0,1.33,3.25,1.9,1.9,3.4,1.3,6.0,1.11,1.91,1.91
Bulgaria First League,2023-05-22,12:00:00,2,Spartak Varna,Hebar 1918,2.02,3.2,3.45,1.08,7.0,1.4,2.75,2.23,1.6,4.0,1.22,7.5,1.07,1.95,1.81
Egypt Egyptian Premier League,2023-05-22,13:00:00,29,Al Ittihad,Al Masry,2.75,2.9,2.55,1.04,7.4,1.35,2.84,2.12,1.65,3.74,1.21,7.3,1.05,1.85,1.85
Serbia SuperLiga,2023-05-22,13:00:00,6,Radnik Surdulica,Kolubara,1.34,4.51,7.87,1.03,12.0,1.26,3.4,1.95,1.85,3.1,1.31,6.5,1.1,2.25,1.55
Serbia SuperLiga,2023-05-22,13:00:00,6,Javor Ivanjica,Mladost Lučani,2.05,3.1,3.37,0.0,0.0,0.0,0.0,1.95,1.75,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2023-05-22,13:00:00,6,Mladost Novi Sad,Napredak,1.53,3.85,5.5,1.08,8.1,1.55,2.3,1.95,1.75,4.3,1.18,7.95,1.05,2.4,1.52
Serbia SuperLiga,2023-05-22,13:00:00,6,Radnički Niš,Spartak Subotica,1.91,3.25,3.65,1.06,10.0,1.3,3.0,2.0,1.7,3.4,1.26,6.35,1.08,1.85,1.85
Italy Serie A,2023-05-22,13:30:00,36,Roma,Salernitana,1.5,4.2,6.75,1.05,9.0,1.3,3.4,2.02,1.8,3.4,1.3,6.0,1.11,2.05,1.7
Poland Ekstraklasa,2023-05-22,14:00:00,33,Warta Poznań,Piast Gliwice,2.45,3.25,2.9,1.05,7.5,1.3,3.2,1.98,1.79,3.5,1.25,6.2,1.08,1.8,1.95
Portugal LigaPro,2023-05-22,14:00:00,33,CD Tondela,Porto II,2.28,3.15,2.9,1.07,7.5,1.36,3.0,1.96,1.8,3.5,1.29,7.0,1.08,1.8,1.91
Turkey Süper Lig,2023-05-22,14:00:00,35,Trabzonspor,Fatih Karagümrük,1.65,4.1,4.4,1.04,10.0,1.22,4.0,1.56,2.43,2.43,1.56,4.5,1.17,1.62,2.2
Sweden Allsvenskan,2023-05-22,14:00:00,9,Värnamo,Kalmar,2.95,3.15,2.55,1.08,7.0,1.36,3.0,2.33,1.61,3.75,1.25,7.0,1.08,1.95,1.8
Denmark Superliga,2023-05-22,14:00:00,8,Nordsjælland,Randers,1.55,4.3,5.65,1.02,14.5,1.2,4.5,1.76,2.07,2.65,1.47,4.7,1.19,1.75,2.0
Sweden Allsvenskan,2023-05-22,14:10:00,9,Norrköping,Elfsborg,3.0,3.55,2.3,1.05,9.0,1.25,3.75,1.75,2.08,2.75,1.4,5.0,1.14,1.62,2.2
Bulgaria First League,2023-05-22,14:15:00,2,Botev Vratsa,Beroe,2.43,3.05,3.18,1.1,6.5,1.45,2.4,2.1,1.68,4.33,1.2,8.0,1.06,2.02,1.76
Romania Liga I,2023-05-22,14:30:00,9,Rapid Bucureşti,CS U Craiova,2.8,3.15,2.5,1.06,8.0,1.33,3.25,2.1,1.71,3.4,1.3,6.5,1.1,1.8,1.91
Egypt Egyptian Premier League,2023-05-22,15:30:00,29,Al Mokawloon,El Geish,2.06,2.71,3.6,1.11,6.0,1.57,2.3,2.57,1.34,5.75,1.13,14.0,1.03,2.25,1.6
Egypt Egyptian Premier League,2023-05-22,15:30:00,29,El Daklyeh FC,Zamalek,4.33,3.05,1.85,1.04,7.5,1.37,2.65,2.2,1.6,4.1,1.16,7.75,1.02,1.86,1.76
France Ligue 2,2023-05-22,15:45:00,36,Le Havre,Valenciennes,1.57,3.7,6.0,1.08,7.0,1.44,2.62,2.2,1.63,4.33,1.2,7.5,1.07,2.3,1.57
Italy Serie A,2023-05-22,15:45:00,36,Empoli,Juventus,4.9,3.85,1.7,1.04,11.5,1.26,3.8,1.87,1.93,3.15,1.35,6.4,1.12,1.91,1.91
England Premier League,2023-05-22,16:00:00,37,Newcastle United,Leicester City,1.45,5.6,6.4,1.02,20.0,1.16,5.6,1.54,2.57,2.28,1.62,4.1,1.26,1.75,2.0
Peru Primera División,2023-05-22,17:00:00,16,Deportivo Binacional,Unión Comercio,1.5,3.9,6.5,1.02,18.5,1.17,4.5,1.7,2.1,2.35,1.53,3.98,1.21,1.68,2.05
Peru Primera División,2023-05-22,17:30:00,16,Sport Boys,UTC Cajamarca,2.5,3.3,2.75,1.04,12.0,1.25,3.6,1.79,1.98,2.88,1.36,5.0,1.13,1.66,2.15
Paraguay Division Profesional,2023-05-22,18:00:00,19,Sportivo Ameliano,Guaireña,1.85,3.47,4.25,0.0,0.0,0.0,0.0,2.05,1.72,0.0,0.0,0.0,0.0,0.0,0.0
