League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
USA USL Championship,2023-05-14,00:00:00,0,Oakland Roots,Orange County SC,2.0,3.5,3.1,1.04,10.0,1.22,4.0,1.7,2.1,2.63,1.45,4.5,1.17,1.55,2.38
Mexico Liga MX,2023-05-14,00:16:00,0,América,Atlético San Luis,1.3,5.51,9.62,1.03,12.0,1.17,5.58,1.52,2.65,2.33,1.65,4.01,1.27,1.85,2.01
Japan J2 League,2023-05-14,01:30:00,15,Iwaki,Blaublitz Akita,2.22,3.1,3.05,1.08,7.75,1.47,2.5,2.38,1.53,4.75,1.16,10.75,1.04,2.1,1.67
Japan J1 League,2023-05-14,01:30:00,13,Kashima Antlers,Nagoya Grampus,2.49,2.92,2.59,1.08,6.5,1.42,2.7,2.48,1.5,4.5,1.2,8.0,1.05,1.95,1.8
Japan J1 League,2023-05-14,01:30:00,13,Albirex Niigata,Yokohama F. Marinos,3.35,3.6,1.92,1.03,9.0,1.17,4.5,1.54,2.38,2.3,1.54,3.8,1.22,1.53,2.38
Japan J1 League,2023-05-14,01:30:00,13,Kyoto Sanga,Cerezo Osaka,3.02,3.16,2.1,1.07,7.0,1.28,3.3,2.03,1.81,3.3,1.28,5.7,1.1,1.8,1.95
Japan J1 League,2023-05-14,01:30:00,13,Avispa Fukuoka,Sagan Tosu,1.83,3.06,3.98,1.08,7.0,1.4,2.8,2.35,1.56,4.2,1.2,7.5,1.07,2.0,1.75
South Korea K League 2,2023-05-14,01:30:00,13,Gyeongnam,Seongnam,2.19,3.11,2.71,1.08,7.0,1.36,2.95,2.1,1.68,4.0,1.22,7.0,1.08,1.87,1.87
South Korea K League 1,2023-05-14,02:30:00,13,Ulsan,FC Seoul,1.8,3.45,3.54,1.05,9.0,1.25,3.75,1.96,1.88,3.0,1.36,5.5,1.12,1.75,2.0
Japan J1 League,2023-05-14,04:00:00,13,Urawa Reds,Gamba Osaka,1.89,3.45,3.55,1.05,9.5,1.27,3.4,1.93,1.95,3.0,1.33,5.75,1.12,1.8,1.95
