League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Japan J2 League,2023-05-28,02:00:00,18,Vegalta Sendai,JEF United,2.3,3.1,2.8,1.07,7.5,1.36,3.0,2.15,1.61,3.75,1.25,6.5,1.1,1.83,1.83
Japan J2 League,2023-05-28,02:00:00,18,Blaublitz Akita,Oita Trinita,2.7,2.8,2.62,1.09,6.5,1.47,2.5,2.05,1.7,4.5,1.17,9.0,1.05,2.1,1.67
Japan J2 League,2023-05-28,02:00:00,18,Tochigi,Fagiano Okayama,3.1,3.0,2.2,1.1,6.5,1.55,2.3,2.15,1.61,4.75,1.16,10.0,1.04,2.2,1.62
Japan J2 League,2023-05-28,02:00:00,18,ThespaKusatsu Gunma,Fujieda MYFC,2.6,3.2,2.45,1.05,9.0,1.25,3.6,1.85,1.85,3.0,1.36,5.5,1.12,1.67,2.1
Japan J2 League,2023-05-28,02:00:00,18,Tokyo Verdy,Iwaki,1.9,3.25,4.0,1.07,6.8,1.33,3.0,2.05,1.7,3.8,1.22,7.5,1.05,2.0,1.73
Japan J2 League,2023-05-28,02:00:00,18,Shimizu S-Pulse,Zweigen Kanazawa,1.35,4.9,7.5,1.03,11.0,1.18,4.5,1.95,1.75,2.38,1.53,4.33,1.2,1.83,1.83
Japan J2 League,2023-05-28,02:00:00,18,Tokushima Vortis,Machida Zelvia,3.5,3.1,2.0,1.08,7.0,1.42,2.75,1.75,1.95,4.33,1.2,7.5,1.07,2.0,1.73
Japan J2 League,2023-05-28,02:00:00,18,Roasso Kumamoto,Montedio Yamagata,2.45,3.2,2.6,1.05,9.0,1.25,3.6,2.05,1.7,3.0,1.36,5.5,1.12,1.67,2.1
Japan J1 League,2023-05-28,02:00:00,15,Yokohama F. Marinos,Avispa Fukuoka,1.7,3.8,4.5,1.05,9.0,1.25,3.75,1.8,1.91,3.0,1.36,5.5,1.12,1.8,1.95
Japan J1 League,2023-05-28,02:00:00,15,Albirex Niigata,Gamba Osaka,2.45,3.25,2.6,1.05,9.0,1.3,3.3,1.8,1.91,3.5,1.28,6.0,1.11,1.75,2.0
Japan J1 League,2023-05-28,02:00:00,15,Cerezo Osaka,Yokohama,1.6,4.2,4.7,1.04,10.0,1.2,4.2,1.8,1.91,2.7,1.44,4.5,1.17,1.75,2.0
Japan J2 League,2023-05-28,03:00:00,18,Mito Hollyhock,Renofa Yamaguchi,2.0,3.2,3.4,1.06,8.0,1.3,3.4,2.05,1.7,3.25,1.33,6.0,1.11,1.73,2.0
