League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
China Chinese Super League,2023-05-19,06:30:00,8,Wuhan Three Towns,Chengdu Better City FC,2.0,3.25,3.25,1.07,10.25,1.33,3.15,2.05,1.8,3.5,1.27,7.0,1.09,1.83,1.91
Australia A-League,2023-05-19,06:45:00,0,Melbourne City FC,Sydney FC,1.8,4.0,4.0,1.02,12.0,1.18,4.75,1.47,2.65,2.3,1.62,4.2,1.22,1.53,2.38
Japan J1 League,2023-05-19,07:30:00,14,Consadole Sapporo,Kyoto Sanga,1.65,4.0,4.5,1.0,10.5,1.16,4.5,1.55,2.38,2.35,1.52,4.15,1.18,1.57,2.3
Ukraine Ukrainian Premier League,2023-05-19,08:00:00,27,Dnipro-1,Kolos Kovalivka,1.3,4.75,9.0,1.03,16.0,1.2,4.33,1.62,2.2,2.7,1.47,4.5,1.16,2.02,1.76
China Chinese Super League,2023-05-19,08:35:00,8,Shanghai Shenhua,Beijing Guoan,2.2,3.0,3.1,1.04,8.8,1.39,2.85,2.25,1.6,4.0,1.22,8.0,1.07,1.9,1.83
China Chinese Super League,2023-05-19,08:35:00,8,Shijiazhuang Ever Bright,Changchun Yatai,2.6,3.2,2.4,1.03,10.0,1.34,3.1,1.97,1.79,3.6,1.26,7.0,1.09,1.8,1.9
China Chinese Super League,2023-05-19,08:35:00,8,Qingdao Jonoon,Hangzhou,2.32,3.25,2.69,1.06,10.5,1.28,3.44,1.96,1.93,3.15,1.33,6.0,1.12,1.8,1.95
China Chinese Super League,2023-05-19,08:35:00,8,Nantong Zhiyun,Shenzhen,2.05,3.3,3.0,1.04,8.85,1.39,2.85,2.08,1.7,4.0,1.22,8.0,1.07,1.94,1.81
Ukraine Ukrainian Premier League,2023-05-19,09:00:00,27,Vorskla,Hirnyk,2.05,3.1,3.5,1.06,10.0,1.32,3.1,2.1,1.7,3.4,1.27,6.25,1.08,1.89,1.87
Croatia Prva HNL,2023-05-19,11:00:00,35,Slaven Koprivnica,Hajduk Split,3.8,3.4,1.83,0.0,0.0,0.0,0.0,1.95,1.85,0.0,0.0,0.0,0.0,1.83,1.83
Ukraine Ukrainian Premier League,2023-05-19,11:00:00,27,Shakhtar Donetsk,Veres Rivne,1.17,6.0,13.0,0.0,0.0,0.0,0.0,1.47,2.55,2.28,1.58,0.0,0.0,0.0,0.0
Bulgaria First League,2023-05-19,11:00:00,2,Slavia Sofia,Arda,2.5,3.0,2.75,1.11,6.0,1.49,2.48,2.55,1.47,4.5,1.17,9.5,1.05,2.1,1.7
Romania Liga I,2023-05-19,11:30:00,9,Hermannstadt,Universitatea Cluj,1.8,3.4,4.2,1.08,7.0,1.38,2.9,2.2,1.62,4.0,1.22,7.5,1.07,2.0,1.75
Poland Ekstraklasa,2023-05-19,13:00:00,33,Zagłębie Lubin,Stal Mielec,1.85,3.4,3.8,1.04,13.5,1.25,3.75,1.87,1.87,3.0,1.36,5.25,1.14,1.68,2.1
Denmark 1st Division,2023-05-19,13:00:00,8,Hillerød,HB Køge,2.55,3.1,2.6,1.06,8.0,1.3,3.4,1.93,1.93,3.25,1.33,6.0,1.11,1.67,2.1
Croatia Prva HNL,2023-05-19,13:05:00,35,Šibenik,Osijek,2.8,3.25,2.38,0.0,0.0,0.0,0.0,2.1,1.7,0.0,0.0,0.0,0.0,1.83,1.83
Hungary NB I,2023-05-19,13:15:00,32,Paksi SE,Puskás,2.05,3.5,3.1,0.0,0.0,0.0,0.0,1.62,2.2,2.25,1.57,0.0,0.0,0.0,0.0
Bulgaria First League,2023-05-19,13:15:00,2,Botev Plovdiv,Lokomotiv Sofia 1929,1.8,3.3,4.2,1.08,7.5,1.38,2.8,1.9,1.87,3.8,1.22,7.75,1.07,2.13,1.68
Germany 2. Bundesliga,2023-05-19,13:30:00,33,Darmstadt 98,Magdeburg,1.53,4.33,5.0,1.02,13.0,1.16,4.75,1.62,2.2,2.23,1.66,3.6,1.25,1.57,2.3
Germany 2. Bundesliga,2023-05-19,13:30:00,33,Holstein Kiel,St. Pauli,2.88,3.75,2.1,1.01,13.0,1.12,5.0,1.47,2.55,2.25,1.64,3.64,1.23,1.44,2.65
France Ligue 2,2023-05-19,14:00:00,36,Grenoble Foot 38,Rodez,2.2,3.2,3.5,1.08,7.0,1.38,2.9,2.16,1.66,4.0,1.22,7.5,1.07,1.9,1.85
Portugal LigaPro,2023-05-19,14:00:00,33,Leixões,Vilafranquense,2.4,3.0,2.75,1.07,7.5,1.36,2.87,2.1,1.7,3.6,1.24,7.25,1.08,1.85,1.9
Portugal LigaPro,2023-05-19,14:00:00,33,Benfica II,Farense,3.6,3.6,1.83,1.03,12.0,1.19,4.2,1.65,2.15,2.45,1.47,4.33,1.19,1.57,2.25
Romania Liga I,2023-05-19,14:00:00,9,UTA Arad,U Craiova 1948,2.2,3.2,3.1,1.08,7.0,1.4,2.75,2.2,1.62,4.0,1.22,7.5,1.07,1.86,1.9
Romania Liga I,2023-05-19,14:00:00,9,Argeș,Petrolul 52,2.3,3.2,2.88,1.08,7.0,1.42,2.6,2.25,1.6,4.2,1.19,8.75,1.06,1.95,1.81
Romania Liga I,2023-05-19,14:00:00,9,Chindia Târgovişte,Voluntari,1.95,3.3,3.6,1.09,7.95,1.45,2.65,2.1,1.68,4.5,1.18,8.7,1.06,2.1,1.7
Denmark 1st Division,2023-05-19,14:00:00,8,Nykøbing,Hobro,3.6,3.75,1.83,1.01,14.5,1.21,4.35,1.8,2.02,2.65,1.48,4.75,1.19,1.53,2.38
Denmark Superliga,2023-05-19,14:00:00,8,Horsens,Silkeborg,3.1,3.5,2.15,1.04,10.0,1.25,3.75,1.72,2.12,2.75,1.4,5.0,1.14,1.67,2.1
Austria Bundesliga,2023-05-19,14:30:00,8,Ried,Rheindorf Altach,2.0,3.4,3.75,0.0,0.0,0.0,0.0,2.03,1.83,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2023-05-19,15:00:00,38,Almere City,MVV,1.5,4.5,4.75,1.01,28.0,1.11,6.25,1.35,2.8,1.85,1.75,3.15,1.35,1.5,2.4
Netherlands Eerste Divisie,2023-05-19,15:00:00,38,AZ II,ADO Den Haag,2.24,3.65,2.71,1.01,24.0,1.11,6.25,1.42,2.7,2.0,1.72,3.2,1.3,1.38,2.8
Netherlands Eerste Divisie,2023-05-19,15:00:00,38,Dordrecht,Oss,2.04,3.45,3.23,1.03,11.0,1.17,4.5,1.57,2.3,2.38,1.53,4.0,1.22,1.53,2.38
Netherlands Eerste Divisie,2023-05-19,15:00:00,38,De Graafschap,Den Bosch,1.2,6.5,9.0,1.01,17.0,1.08,7.0,1.3,3.4,1.73,2.0,2.62,1.44,1.67,2.1
Netherlands Eerste Divisie,2023-05-19,15:00:00,38,Helmond Sport,PEC Zwolle,5.5,4.75,1.4,1.02,15.0,1.08,7.0,1.33,3.25,1.8,1.91,2.62,1.44,1.5,2.5
Netherlands Eerste Divisie,2023-05-19,15:00:00,38,Heracles,Ajax II,1.25,6.0,7.5,1.01,70.0,1.04,13.0,1.17,4.5,1.45,2.55,2.0,1.72,1.38,2.8
