League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Japan J2 League,2023-06-28,07:00:00,22,Shimizu S-Pulse,Blaublitz Akita,1.42,4.0,6.5,1.06,8.0,1.28,3.5,2.06,1.72,3.25,1.3,5.5,1.12,2.1,1.68
Japan J2 League,2023-06-28,07:00:00,22,Jubilo Iwata,Ventforet Kofu,1.9,3.5,3.25,1.02,9.2,1.28,3.5,1.93,1.82,3.25,1.3,5.95,1.08,1.75,2.0
Japan J1 League,2023-06-28,07:30:00,12,Urawa Reds,Shonan Bellmare,1.7,3.5,5.0,1.06,8.25,1.35,3.32,1.89,1.87,3.67,1.3,7.5,1.1,1.85,1.91
China Chinese Super League,2023-06-28,08:35:00,13,Wuhan Three Towns,Dalian Yifang,1.29,5.4,8.5,1.02,20.5,1.14,4.6,1.6,2.25,2.23,1.58,4.0,1.22,1.95,1.8
China Chinese Super League,2023-06-28,08:35:00,13,Hangzhou,Meizhou Hakka,1.6,3.9,5.1,1.01,10.25,1.25,3.75,1.78,1.98,3.0,1.36,5.2,1.11,1.8,1.95
China Chinese Super League,2023-06-28,08:35:00,13,Tianjin Teda,Qingdao Jonoon,1.82,3.46,4.53,1.04,7.6,1.4,2.85,2.25,1.62,4.2,1.2,7.6,1.04,2.05,1.7
China Chinese Super League,2023-06-28,08:35:00,13,Shanghai Shenhua,Nantong Zhiyun,1.45,4.0,7.5,1.04,7.4,1.4,2.85,2.2,1.62,4.2,1.22,7.9,1.04,2.38,1.53
China Chinese Super League,2023-06-28,08:35:00,13,Shijiazhuang Ever Bright,Henan Jianye,2.45,3.39,2.84,1.02,8.8,1.3,3.2,1.99,1.82,3.3,1.29,5.75,1.1,1.75,2.0
Egypt Egyptian Premier League,2023-06-28,13:00:00,32,Al Masry,Coca-Cola,3.1,2.7,2.45,1.13,5.86,1.5,2.4,2.56,1.45,5.09,1.16,9.9,1.01,2.12,1.7
Brazil Serie D,2023-06-28,15:00:00,10,Cordino,Parnahyba,1.95,3.0,3.6,1.02,8.25,1.3,2.9,2.15,1.67,3.6,1.2,6.5,1.04,1.8,1.8
Brazil Serie D,2023-06-28,15:30:00,10,Fluminense PI,Maranhão,3.4,3.0,2.05,1.08,7.5,1.42,2.7,2.4,1.53,4.75,1.17,10.5,1.04,2.0,1.73
Egypt Egyptian Premier League,2023-06-28,15:30:00,32,Pyramids FC,Smouha SC,1.32,4.5,8.5,1.01,9.9,1.23,3.56,1.77,1.93,2.88,1.34,5.35,1.1,2.12,1.64
Chile Primera División,2023-06-28,19:00:00,12,Universidad Chile,Universidad Católica,2.2,3.1,2.9,1.03,8.5,1.28,3.26,1.91,1.8,3.24,1.29,6.05,1.08,1.74,2.02
Brazil Serie B,2023-06-28,19:00:00,14,Ceará,Avaí,1.7,3.65,4.4,1.08,7.0,1.36,2.95,2.1,1.67,4.0,1.22,7.5,1.07,2.0,1.75
Brazil Serie B,2023-06-28,19:00:00,14,ABC,Atlético GO,2.85,2.95,2.5,1.08,7.0,1.42,2.7,2.23,1.6,4.5,1.2,7.5,1.07,1.95,1.8
Brazil Serie D,2023-06-28,19:00:00,10,Ferroviário,Uniclinic,1.36,4.0,7.5,1.04,11.5,1.29,3.25,1.95,1.85,3.25,1.3,5.9,1.1,2.25,1.58
Brazil Serie D,2023-06-28,19:00:00,10,Iguatu,Globo,1.25,4.75,8.5,1.02,16.0,1.18,4.3,1.65,2.2,2.5,1.47,4.1,1.2,1.95,1.75
Brazil Serie D,2023-06-28,19:00:00,10,Bahia de Feira,Atlético Alagoinhas,1.67,3.4,4.5,1.08,8.35,1.39,2.67,2.35,1.57,4.15,1.17,7.45,1.02,2.05,1.73
Brazil Serie D,2023-06-28,20:00:00,10,Nacional de Patos,Campinense,1.95,3.0,3.8,1.09,7.0,1.45,2.55,2.4,1.53,4.4,1.13,10.5,1.01,2.0,1.72
Brazil Serie D,2023-06-28,20:00:00,10,Sousa,Santa Cruz,2.05,3.1,3.4,1.09,7.6,1.45,2.48,2.4,1.53,4.6,1.14,8.05,1.05,2.02,1.75
Brazil Serie D,2023-06-28,20:00:00,10,Retrô,Jacuipense,1.73,3.25,4.33,1.06,9.9,1.33,3.07,2.4,1.53,3.48,1.26,6.4,1.08,1.92,1.84
