League,N1,N2,N3
ARGENTINA - LIGA PROFESIONAL,D,H,A
ARGENTINA - PRIMERA NACIONAL,A,D,D
BELARUS - VYSSHAYA LIGA,D,D,D
BELGIUM - JUPILER PRO LEAGUE,H,A,D
BRAZIL - SERIE A,H,A,A
BRAZIL - SERIE B,A,H,H
CANADA - CANADIAN PREMIER LEAGUE,D,H,A
CHILE - PRIMERA DIVISION,A,D,D
COLOMBIA - PRIMERA A,A,H,A
DOMINICAN REPUBLIC - LDF,A,D,D
ECUADOR - LIGA PRO,A,A,H
ESTONIA - MEISTRILIIGA,H,D,H
FINLAND - VEIKKAUSLIIGA,A,D,H
FINLAND - YKKONEN,D,A,D
GEORGIA - CRYSTALBET EROVNULI LIGA,A,H,A
GHANA - PREMIER LEAGUE,A,A,D
ICELAND - BESTA DEILD KARLA,H,D,D
ITALY - SERIE C,D,D,D
ITALY - SERIE D,A,D,A
MONGOLIA - PREMIER LEAGUE,A,A,H
MOROCCO - BOTOLA PRO,D,A,A
NETHERLANDS - EREDIVISIE,H,A,D
NICARAGUA - LIGA PRIMERA,D,H,H
NIGERIA - NPFL,D,D,H
PARAGUAY - PRIMERA DIVISION,H,A,A
PHILIPPINES - PFL,A,A,A
POLAND - DIVISION 1,D,H,D
PORTUGAL - LIGA PORTUGAL,A,A,A
PORTUGAL - LIGA PORTUGAL 2,H,D,A
REPUBLIC OF THE CONGO - LIGUE 1,H,D,A
SOUTH KOREA - K LEAGUE 1,H,D,H
SOUTH KOREA - K LEAGUE 2,H,H,A
SPAIN - LALIGA2,D,H,D
SPAIN - PRIMERA RFEF,H,A,H
SPAIN - SEGUNDA RFEF,H,A,H
SWEDEN - ALLSVENSKAN,H,H,A
SWEDEN - SUPERETTAN,A,D,D
URUGUAY - PRIMERA DIVISION,A,A,H
USA - MLS,H,A,A
USA - USL CHAMPIONSHIP,D,H,A
UZBEKISTAN - SUPER LEAGUE,H,D,D
VENEZUELA - LIGA FUTVE,H,A,D
