League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
CROATIA - HNL,26/04/2023,12:05,D. Zagreb,Varazdin,1.22,5.5,11.0
ENGLAND - PREMIER LEAGUE,26/04/2023,15:45,Chelsea,Brentford,1.75,3.8,4.5
SPAIN - LALIGA,26/04/2023,17:00,Celta Vigo,Elche,1.33,5.25,8.5
