League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Argentina Primera División,2023-07-25,15:30:00,26,Barracas Central,Arsenal de Sarandí,1.85,3.0,4.2,1.09,6.5,1.5,2.45,2.45,1.5,4.6,1.17,9.75,1.05,2.2,1.62
Argentina Primera División,2023-07-25,18:00:00,26,Colón,Tigre,2.35,3.0,2.8,1.07,7.75,1.36,2.87,2.1,1.67,3.7,1.24,7.25,1.08,1.91,1.91
Chile Primera División,2023-07-25,19:00:00,18,Ñublense,Colo-Colo,3.25,3.2,2.1,1.06,8.0,1.33,3.25,2.08,1.71,3.4,1.3,6.5,1.1,1.87,1.9
Argentina Primera División,2023-07-25,20:30:00,26,Instituto,Lanús,2.77,2.8,2.9,1.1,6.39,1.52,2.35,2.59,1.42,4.99,1.16,11.0,1.03,2.1,1.67
Colombia Categoria Primera B,2023-07-25,21:30:00,1,Deportes Quindío,Bogotá,1.92,3.05,3.65,1.08,6.5,1.42,2.62,2.35,1.55,4.0,1.2,8.0,1.05,2.0,1.73
