League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
BELGIUM - JUPILER PRO LEAGUE,23/04/2023,08:30,St. Truiden,Antwerp,4.5,3.6,1.75
GERMANY - 2. BUNDESLIGA,23/04/2023,08:30,Sandhausen,Paderborn,4.5,3.8,1.8
SLOVENIA - PRVA LIGA,23/04/2023,10:00,ND Gorica,O. Ljubljana,4.76,3.78,1.74
SWEDEN - ALLSVENSKAN,23/04/2023,12:30,Sirius,Hacken,4.5,3.75,1.75
DENMARK - SUPERLIGA,23/04/2023,13:00,Aarhus,FC Copenhagen,4.0,3.5,1.95
BELGIUM - JUPILER PRO LEAGUE,23/04/2023,13:30,Charleroi,Genk,3.6,3.6,1.91
BELGIUM - JUPILER PRO LEAGUE,23/04/2023,13:30,Kortrijk,Royale Union SG,5.25,4.2,1.53
