League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
NETHERLANDS - EREDIVISIE,01/06/2023,13:45,Heerenveen,Twente,3.6,3.6,2.0
ARGENTINA - LIGA PROFESIONAL,01/06/2023,21:30,Arsenal Sarandi,Boca Juniors,5.25,3.4,1.75
