League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
SERBIA - SUPER LIGA,25/04/2023,13:00,Mladost GAT,Kolubara,1.38,4.32,8.7
ENGLAND - PREMIER LEAGUE,25/04/2023,15:45,Aston Villa,Fulham,1.75,3.8,4.5
