League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
FRANCE - LIGUE 2,26/05/2023,15:45,Annecy,Bordeaux,4.33,3.4,1.75
FRANCE - LIGUE 2,26/05/2023,15:45,Sochaux,Metz,4.2,3.6,1.75
