League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Egypt Egyptian Premier League,2023-07-13,14:30:00,31,Al Ahly,Zamalek,1.67,3.4,4.33,1.05,10.25,1.33,3.1,2.0,1.7,3.65,1.25,7.5,1.09,1.9,1.83
Brazil Serie B,2023-07-13,20:00:00,17,Criciúma,Guarani,1.92,3.25,3.4,1.09,7.0,1.47,2.55,2.37,1.5,4.75,1.16,9.0,1.05,2.23,1.62
9525,2023-07-13,22:05:00,3,Santos Laguna,Atlas,2.3,3.28,2.84,1.04,13.0,1.22,4.0,1.75,1.95,2.9,1.42,5.0,1.16,1.67,2.1
