League,N1,N2,N3
ALBANIA - SUPERLIGA,H,D,H
ARGENTINA - LIGA PROFESIONAL,A,H,D
ARGENTINA - PRIMERA NACIONAL,H,D,A
ARMENIA - PREMIER LEAGUE,D,A,H
AZERBAIJAN - PREMIER LEAGUE,H,D,A
BELARUS - VYSSHAYA LIGA,A,D,A
BELGIUM - JUPILER PRO LEAGUE,H,A,H
BOLIVIA - DIVISION PROFESIONAL,A,A,D
BRAZIL - SERIE B,D,D,A
BULGARIA - PARVA LIGA,H,H,D
CANADA - CANADIAN PREMIER LEAGUE,H,A,A
CHILE - PRIMERA DIVISION,A,A,H
CHINA - SUPER LEAGUE,D,A,A
COLOMBIA - PRIMERA A,H,D,A
COSTA RICA - PRIMERA DIVISION,H,A,A
CROATIA - HNL,H,H,D
DOMINICAN REPUBLIC - LDF,A,A,D
ECUADOR - LIGA PRO,A,H,H
EGYPT - PREMIER LEAGUE,H,A,D
ENGLAND - CHAMPIONSHIP,H,H,D
FINLAND - VEIKKAUSLIIGA,H,H,A
FINLAND - YKKONEN,A,H,A
GHANA - PREMIER LEAGUE,H,D,H
HONG KONG - PREMIER LEAGUE,A,A,D
ICELAND - BESTA DEILD KARLA,D,A,D
INDONESIA - LIGA 1,A,H,H
IVORY COAST - LIGUE 1,A,D,H
MEXICO - LIGA MX,D,D,D
MONGOLIA - PREMIER LEAGUE,A,H,H
NETHERLANDS - EREDIVISIE,A,D,A
NIGERIA - NPFL,D,A,H
NORTH MACEDONIA - 1. MFL,D,H,H
NORWAY - OBOS-LIGAEN,H,A,H
PARAGUAY - PRIMERA DIVISION,D,A,H
PERU - LIGA 1,H,A,A
PHILIPPINES - PFL,A,A,A
POLAND - DIVISION 1,A,D,H
PORTUGAL - LIGA PORTUGAL 2,A,D,H
PORTUGAL - TAÇA DE PORTUGAL,H,H,D
REPUBLIC OF THE CONGO - LIGUE 1,H,H,D
ROMANIA - LIGA 1,D,D,H
SCOTLAND - PREMIERSHIP,H,A,D
SENEGAL - LIGUE 1,D,H,D
SERBIA - PRVA LIGA,A,D,D
SINGAPORE - PREMIER LEAGUE,H,D,H
SLOVENIA - PRVA LIGA,A,A,D
SOUTH KOREA - K LEAGUE 1,A,D,A
SOUTH KOREA - K LEAGUE 2,A,D,D
SPAIN - LALIGA2,D,H,D
SPAIN - SEGUNDA RFEF,H,H,H
SWEDEN - ALLSVENSKAN,D,H,A
SWEDEN - SUPERETTAN,A,H,D
SWITZERLAND - SUPER LEAGUE,H,A,D
THAILAND - THAI LEAGUE 1,D,D,D
URUGUAY - PRIMERA DIVISION,H,H,H
UZBEKISTAN - SUPER LEAGUE,D,A,H
VENEZUELA - LIGA FUTVE,D,D,H
VIETNAM - V.LEAGUE 1,D,H,A
