League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
ENGLAND - CHAMPIONSHIP,08/05/2023,11:00,Birmingham,Sheffield Utd,4.0,3.5,1.91
ENGLAND - CHAMPIONSHIP,08/05/2023,11:00,Preston,Sunderland,4.0,3.5,1.91
SERBIA - SUPER LIGA,08/05/2023,11:00,Radnicki 1923,TSC,4.28,3.42,1.84
SWEDEN - ALLSVENSKAN,08/05/2023,14:00,Sirius,Elfsborg,3.6,3.75,1.95
