,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ROMANIA - LIGA 1,01/09/2023,12:30,Petrolul,Otelul,1.95,3.2,3.75
2,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,01/09/2023,14:00,Borac Banja Luka,Zvijezda 09,1.13,7.4,14.5
3,QATAR - QSL,01/09/2023,14:15,Umm-Salal,Qatar SC,2.8,3.25,2.4
4,QATAR - QSL,01/09/2023,14:15,Muaither SC,Al Markhiya,2.27,3.55,2.8
5,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,01/09/2023,15:00,Al Riyadh,Al Akhdoud,2.2,3.4,2.88
6,BELGIUM - CHALLENGER PRO LEAGUE,01/09/2023,15:00,Waregem,Dender,1.7,4.0,4.0
7,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,01/09/2023,15:00,Al Ittihad,Al Hilal,2.55,3.5,2.4
8,BULGARIA - PARVA LIGA,01/09/2023,15:30,Botev Plovdiv,Slavia Sofia,1.75,3.6,4.75
9,ENGLAND - FA CUP,01/09/2023,15:45,Laverstock & Ford,Gosport,,,
10,ENGLAND - FA CUP,01/09/2023,15:45,Goole,Whitby,7.5,5.5,1.29
