Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,18/04/2024,09:00,THAILAND - THAI LEAGUE 1,Bangkok Utd,Lamphun Warrior,1.42,4.55,6.5,1.62,1.82,1.88,1.04,1.32,1.2,4.05,1.2
2,18/04/2024,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Taawon,Al Khaleej,1.62,3.8,5.0,1.75,1.8,1.91,1.04,1.33,1.22,5.0,1.14
3,18/04/2024,13:00,IVORY COAST - LIGUE 1,ASEC Mimosas,Bouake,1.62,3.35,5.2,2.32,2.27,1.6,1.07,1.52,1.47,9.35,1.01
4,18/04/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Shabab,Abha,1.33,5.25,7.0,1.53,1.83,1.83,1.02,1.25,1.17,4.0,1.22
5,18/04/2024,18:30,ECUADOR - LIGA PRO,Ind. del Valle,Mushuc Runa,1.3,5.5,8.0,1.57,2.0,1.73,1.03,1.3,1.18,4.33,1.2
6,18/04/2024,20:00,BOLIVIA - DIVISION PROFESIONAL,Bolivar,SA Bulo Bulo,1.25,5.25,8.0,1.44,1.75,1.87,1.01,1.23,1.11,3.2,1.25
7,18/04/2024,21:00,BOLIVIA - DIVISION PROFESIONAL,Aurora,Independiente,1.53,4.0,5.0,1.8,1.78,1.82,1.01,1.35,1.24,5.3,1.11
8,18/04/2024,21:00,ECUADOR - LIGA PRO,Barcelona SC,EL Nacional,1.44,4.5,7.0,1.65,1.8,1.91,1.03,1.3,1.2,4.5,1.18
9,18/04/2024,22:20,COLOMBIA - PRIMERA A,America De Cali,Dep. Pasto,1.7,3.4,5.75,2.1,2.0,1.73,1.08,1.44,1.33,8.0,1.08
10,18/04/2024,23:00,COSTA RICA - PRIMERA DIVISION,Herediano,Cartagines,1.6,4.0,5.0,1.7,1.8,1.91,1.04,1.33,1.25,5.0,1.17
