,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,MEXICO - LIGA DE EXPANSION MX,13/03/2024,00:05,Venados,Alebrijes Oaxaca,1.55,4.2,5.2,1.65,1.72,2.0
2,HONG KONG - PREMIER LEAGUE,13/03/2024,09:00,Hong Kong Rangers,Southern District,3.1,3.6,2.05,1.45,1.4,2.52
3,INDONESIA - LIGA 1,13/03/2024,10:30,Persebaya,Madura United,2.12,3.25,3.2,1.8,1.6,2.05
4,INDONESIA - LIGA 1,13/03/2024,10:30,Persita,Arema FC,2.0,3.35,3.4,1.62,1.53,2.18
5,INDIA - ISL,13/03/2024,11:00,Kerala Blasters,Mohun Bagan,3.1,3.1,2.25,2.1,1.83,1.83
6,POLAND - EKSTRAKLASA,13/03/2024,14:30,Korona Kielce,Rakow,4.0,3.4,1.91,2.05,1.95,1.8
7,SPAIN - LALIGA2,13/03/2024,15:00,Levante,Andorra,1.91,3.4,4.5,2.15,2.0,1.73
9,SCOTLAND - PREMIERSHIP,13/03/2024,16:45,Ross County,Hibernian,4.33,3.75,1.83,1.73,1.7,2.05
10,SCOTLAND - PREMIERSHIP,13/03/2024,16:45,Dundee FC,Aberdeen,2.45,3.4,2.88,1.88,1.67,2.1
11,ENGLAND - LEAGUE ONE,13/03/2024,17:00,Peterborough,Stevenage,1.8,3.6,4.5,1.88,1.75,2.0
12,BOLIVIA - DIVISION PROFESIONAL,13/03/2024,19:00,Aurora,Nacional Potosi,1.91,3.75,3.6,1.57,1.53,2.38
13,PERU - LIGA 1,13/03/2024,20:30,Cienciano,Alianza Lima,2.15,3.25,3.1,2.05,1.8,1.91
14,BOLIVIA - DIVISION PROFESIONAL,13/03/2024,21:00,Tomayapo,The Strongest,3.0,3.5,2.05,1.7,1.6,2.05
15,MEXICO - LIGA DE EXPANSION MX,13/03/2024,22:05,Tepatitlan de Morelos,Atlante,4.4,3.45,1.78,2.25,2.1,1.65
16,PERU - LIGA 1,13/03/2024,23:00,Sporting Cristal,FBC Melgar,1.5,4.0,5.25,1.73,1.8,1.91
