,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ROMANIA - LIGA 2,02/12/2023,06:00,Metaloglobus Bucharest,Tunari,1.65,3.6,5.0
2,BULGARIA - PARVA LIGA,02/12/2023,07:30,Hebar,CSKA 1948 Sofia,4.5,3.5,1.83
3,BELARUS - VYSSHAYA LIGA,02/12/2023,08:00,FC Gomel,Slutsk,1.49,4.25,6.21
4,NORTH MACEDONIA - 1. MFL,02/12/2023,09:00,Makedonija GP,Vardar,1.41,4.2,6.28
5,SERBIA - PRVA LIGA,02/12/2023,09:00,Jedinstvo U.,Tekstilac Odzaci,2.27,2.95,3.0
6,SERBIA - PRVA LIGA,02/12/2023,09:00,Metalac,Kolubara,,,
7,NETHERLANDS - TWEEDE DIVISIE,02/12/2023,10:30,Noordwijk,De Treffers,4.05,3.6,1.78
8,REPUBLIC OF THE CONGO - LIGUE 1,02/12/2023,11:00,Etoile du Congo,Juk,,,
9,QATAR - QSL,02/12/2023,11:30,Qatar SC,Muaither SC,1.47,4.5,5.7
10,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,02/12/2023,12:00,Al Akhdoud,Al Ettifaq,4.0,3.6,1.75
11,ENGLAND - FA CUP,02/12/2023,12:00,Sutton,Horsham FC,1.44,4.75,6.5
12,ENGLAND - FA CUP,02/12/2023,12:00,Sutton,Barnsley,4.0,3.75,1.75
13,IVORY COAST - LIGUE 1,02/12/2023,12:30,SO Armee,Korhogo,,,
14,SENEGAL - LIGUE 1,02/12/2023,13:30,Dakar SC,Mbour,1.72,2.95,5.2
15,POLAND - EKSTRAKLASA,02/12/2023,13:30,Widzew Lodz,Radomiak Radom,2.25,3.3,3.1
16,SENEGAL - LIGUE 1,02/12/2023,13:30,Jaraaf,Generation F.,2.42,2.65,3.1
17,SPAIN - PRIMERA RFEF,02/12/2023,14:00,Castellon,Linares,1.25,5.0,8.0
18,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,02/12/2023,15:00,Al Raed,Al Wehda,2.38,3.4,2.63
19,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,02/12/2023,15:00,Al Shabab,Al Taawon,2.05,3.3,3.3
20,SPAIN - PRIMERA RFEF,02/12/2023,16:00,Cultural Leonesa,R. Union,1.83,3.2,3.75
21,BELGIUM - CHALLENGER PRO LEAGUE,02/12/2023,16:00,Deinze,Club Brugge KV U23,1.53,4.33,5.0
22,ITALY - SERIE C,02/12/2023,16:45,Arezzo,Lucchese,2.42,3.0,3.0
