,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2025-02-15,01:00:00,SOUTH KOREA - K LEAGUE 1,Pohang,Daejeon,2.04,3.95,3.45,16.0,1.2386642
2,2025-02-15,02:00:00,JAPAN - J2 LEAGUE,Omiya,Montedio Yamagata,3.2,2.26,3.55,11.5,1.2394639
3,2025-02-15,02:00:00,JAPAN - J2 LEAGUE,Iwata,Mito,1.82,4.7,3.75,17.0,1.2394644
4,2025-02-15,02:00:00,JAPAN - J2 LEAGUE,Sagan Tosu,Vegalta Sendai,2.32,3.25,3.45,15.5,1.2394636
5,2025-02-15,02:00:00,JAPAN - J2 LEAGUE,Kofu,Renofa Yamaguchi,2.36,3.45,3.1,13.5,1.2393357
6,2025-02-15,02:00:00,JAPAN - J2 LEAGUE,Fujieda MYFC,Tokushima,3.8,2.12,3.35,9.2,1.2393354
7,2025-02-15,02:00:00,JAPAN - J2 LEAGUE,Iwaki,Chiba,3.15,2.26,3.3,14.0,1.2393355
8,2025-02-15,03:00:00,AUSTRALIA - A-LEAGUE,Melbourne City,Perth Glory,1.32,10.0,6.2,55.0,1.2391124
9,2025-02-15,03:30:00,SOUTH KOREA - K LEAGUE 1,Jeju Utd,Seoul,3.65,2.18,3.35,11.0,1.2386643
10,2025-02-15,04:00:00,AUSTRALIA - A-LEAGUE,Western United,Auckland FC,2.72,2.68,3.65,14.0,1.2391125
11,2025-02-15,04:30:00,SOUTH KOREA - K LEAGUE 1,Gwangju FC,Suwon FC,2.3,3.55,3.25,12.5,1.2386644
12,2025-02-15,05:35:00,AUSTRALIA - A-LEAGUE,Adelaide United,Newcastle Jets,1.54,6.2,5.1,46.0,1.2391123
13,2025-02-15,07:00:00,JAPAN - J2 LEAGUE,V-Varen Nagasaki,Kumamoto,1.94,3.9,3.95,48.0,1.2393587
14,2025-02-15,07:30:00,TURKEY - SUPER LIG,Gaziantep,Sivasspor,2.1,3.8,3.65,17.0,1.2393701
15,2025-02-15,09:00:00,GERMANY - 2. BUNDESLIGA,Elversberg,Greuther Furth,1.8,4.7,4.1,22.0,1.2393492
16,2025-02-15,09:00:00,GERMANY - 2. BUNDESLIGA,Braunschweig,Darmstadt,2.72,2.66,3.7,13.5,1.2393982
17,2025-02-15,09:00:00,GERMANY - 2. BUNDESLIGA,Kaiserslautern,Hannover,3.0,2.46,3.7,14.0,1.2393987
18,2025-02-15,09:00:00,SERBIA - SUPER LIGA,IMT Novi Beograd,Sp. Subotica,1.93,4.6,3.25,120.0,1.2395452
19,2025-02-15,09:30:00,ENGLAND - LEAGUE ONE,Northampton,Wrexham,4.0,2.06,3.5,7.8,1.2393531
20,2025-02-15,09:30:00,ENGLAND - LEAGUE ONE,Cambridge Utd,Exeter,2.18,3.6,3.45,13.0,1.239374
21,2025-02-15,09:30:00,ENGLAND - LEAGUE TWO,AFC Wimbledon,Salford,1.87,4.9,3.5,14.5,1.2393646
