Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,01/11/2023,08:00,SPAIN - COPA DEL REY,Pena Deportiva,Valladolid,6.0,3.5,1.55,2.15,2.1,1.65,1.08,1.5,1.37,6.2,1.09
2,01/11/2023,08:00,SPAIN - COPA DEL REY,Navalcarnero,Alcorcon,5.0,3.3,1.67,2.15,2.02,1.7,1.08,1.47,1.37,6.2,1.09
3,01/11/2023,08:00,SPAIN - COPA DEL REY,Compostela,Tenerife,5.25,3.4,1.65,2.15,2.05,1.7,1.07,1.44,1.36,9.0,1.07
4,01/11/2023,13:30,SPAIN - COPA DEL REY,Zamora,Racing Santander,5.0,3.4,1.62,2.1,2.05,1.7,1.07,1.44,1.36,8.0,1.08
5,01/11/2023,13:30,SPAIN - COPA DEL REY,Guijuelo,Gijon,4.75,3.4,1.65,2.15,2.05,1.7,1.07,1.44,1.36,9.0,1.07
6,01/11/2023,14:00,SPAIN - COPA DEL REY,Terrassa,Albacete,5.0,3.4,1.6,2.15,2.1,1.67,1.07,1.44,1.36,9.0,1.07
7,01/11/2023,14:00,SPAIN - COPA DEL REY,Utebo FC,Mirandes,5.75,3.6,1.53,2.2,2.25,1.57,1.08,1.44,1.4,9.0,1.07
8,01/11/2023,14:00,SPAIN - COPA DEL REY,CE Europa,Elche,4.2,3.2,1.8,2.25,2.05,1.7,1.08,1.5,1.4,10.0,1.06
9,01/11/2023,15:00,SPAIN - COPA DEL REY,Aguilas FC,Huesca,4.75,3.5,1.67,2.2,2.1,1.65,1.08,1.5,1.38,6.5,1.08
10,01/11/2023,20:05,MEXICO - LIGA DE EXPANSION MX,Tlaxcala,Correcaminos,4.9,3.85,1.62,1.72,1.75,1.98,1.05,1.36,1.24,4.6,1.16
11,01/11/2023,20:30,PARAGUAY - PRIMERA DIVISION,General Caballero JLM,Nacional Asuncion,4.0,3.4,1.8,1.95,1.78,1.93,1.07,1.45,1.32,5.7,1.12
