,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,07/08/2023,12:00,FINLAND - VEIKKAUSLIIGA,Lahti,Honka,4.2,3.5,1.85,2.05,1.95,1.8,1.06,1.44,1.33,8.0,1.08
2,07/08/2023,13:00,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Hebar,1.33,6.0,7.5,1.85,2.38,1.53,1.04,1.36,1.25,6.0,1.13
3,07/08/2023,15:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Larne,Dungannon,1.1,8.7,23.0,1.43,2.57,1.48,1.02,1.21,1.11,3.42,1.25
