Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,PORTUGAL - LIGA PORTUGAL 2,31/12/2023,08:00,Mafra,AVS,2.55,3.1,2.7
2,GHANA - PREMIER LEAGUE,31/12/2023,12:00,Nations FC,Nsoatreman,1.8,3.2,4.05
3,GHANA - PREMIER LEAGUE,31/12/2023,12:00,Aduana,Dreams,1.47,3.55,6.8
4,SENEGAL - LIGUE 1,31/12/2023,13:30,Pikine,Generation F.,1.88,2.9,4.25
5,SENEGAL - LIGUE 1,31/12/2023,13:30,Sonacos,Jamono Fatick,2.2,2.89,3.42
6,IRAQ - SUPER LEAGUE,31/12/2023,15:30,Al Zawraa,Al Naft,1.59,3.52,5.59
7,JAMAICA - PREMIER LEAGUE,31/12/2023,17:00,Tivoli,Lime Hall Academy,1.35,4.4,8.0
8,JAMAICA - PREMIER LEAGUE,31/12/2023,17:00,Waterhouse,Molynes,1.5,3.85,6.2
9,JAMAICA - PREMIER LEAGUE,31/12/2023,17:00,Mount Pleasant,Humble Lions,1.65,3.5,5.0
10,JAMAICA - PREMIER LEAGUE,31/12/2023,19:15,Cavalier,Dunbeholden,2.1,3.2,3.35
