Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ANDORRA - PRIMERA DIVISIÓ,28/01/2024,07:00,Inter Escaldes,Pas de la Casa,1.05,9.25,21.0
2,SPAIN - PRIMERA RFEF,28/01/2024,08:00,Unionistas,Cornella,1.73,3.1,4.75
3,ITALY - SERIE C,28/01/2024,10:00,Triestina,Pergolettese,1.6,3.6,5.8
4,ANDORRA - PRIMERA DIVISIÓ,28/01/2024,12:00,Penya,Atletic America,1.39,4.55,5.8
5,SPAIN - LALIGA2,28/01/2024,12:15,Andorra,Elche,2.45,3.0,3.1
6,PORTUGAL - LIGA PORTUGAL 2,28/01/2024,12:30,FC Porto B,Os Belenenses,1.53,4.0,5.25
7,ALBANIA - SUPERLIGA,28/01/2024,13:00,KF Tirana,Skenderbeu,1.65,3.4,4.8
8,SPAIN - PRIMERA RFEF,28/01/2024,14:00,Castellon,Antequera,1.5,3.4,6.5
9,ITALY - SERIE C,28/01/2024,14:30,Gubbio,Lucchese,2.2,2.9,3.55
10,JAMAICA - PREMIER LEAGUE,28/01/2024,18:00,Waterhouse,Lime Hall Academy,1.38,4.4,7.2
11,JAMAICA - PREMIER LEAGUE,28/01/2024,20:00,Cavalier,Montego Bay,1.62,3.55,5.3
12,COLOMBIA - PRIMERA A,28/01/2024,20:10,America De Cali,Atl. Nacional,2.0,3.4,4.0
