Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,12/11/2023,06:30,SOUTH KOREA - K LEAGUE 2,Jeonnam,Busan,3.4,3.5,1.95,1.8,1.67,2.1,1.04,1.36,1.25,6.0,1.13
2,12/11/2023,09:00,BELARUS - VYSSHAYA LIGA,Energetik-BGU,Zhodino,6.02,3.84,1.56,2.14,2.17,1.66,1.04,1.45,1.35,7.3,1.05
3,12/11/2023,10:30,AUSTRIA - BUNDESLIGA,A. Klagenfurt,Sturm Graz,4.75,3.6,1.73,1.8,1.7,2.05,1.04,1.33,1.22,5.5,1.14
4,12/11/2023,10:30,AUSTRIA - BUNDESLIGA,BW Linz,LASK,4.0,3.6,1.91,1.9,1.7,2.05,1.05,1.36,1.25,6.0,1.13
5,12/11/2023,11:00,ARMENIA - PREMIER LEAGUE,Ararat Yerevan,Alashkert,3.9,3.2,1.85,2.02,1.92,1.84,1.03,1.44,1.33,7.2,1.05
6,12/11/2023,12:30,PORTUGAL - LIGA PORTUGAL 2,Leixoes,Maritimo,3.6,3.4,1.95,1.9,1.73,2.0,1.05,1.36,1.25,6.0,1.13
7,12/11/2023,13:00,AUSTRIA - BUNDESLIGA,Austria Vienna,Salzburg,4.0,4.0,1.8,1.65,1.62,2.2,1.03,1.3,1.2,4.5,1.18
8,12/11/2023,13:30,SLOVAKIA - NIKE LIGA,Kosice,Trnava,4.6,3.8,1.7,1.72,1.65,2.1,1.05,1.38,1.23,4.55,1.18
9,12/11/2023,13:30,ENGLAND - PREMIER LEAGUE,Chelsea,Manchester City,5.0,3.7,1.73,1.93,1.8,1.95,1.05,1.36,1.29,6.0,1.13
10,12/11/2023,14:00,SPAIN - PRIMERA RFEF,Granada CF B,Castellon,4.5,3.6,1.65,2.2,2.2,1.62,1.07,1.5,1.4,7.5,1.07
11,12/11/2023,14:00,POLAND - DIVISION 1,Zaglebie Sosnowiec,Arka Gdynia,4.0,3.5,1.8,1.8,1.73,2.0,1.04,1.36,1.25,5.5,1.14
12,12/11/2023,14:30,ITALY - SERIE C,Brindisi,Avellino,4.8,3.45,1.72,2.32,2.25,1.57,1.1,1.55,1.45,7.3,1.06
13,12/11/2023,15:00,PORTUGAL - LIGA PORTUGAL,Arouca,Braga,5.0,4.2,1.6,1.62,1.67,2.1,1.03,1.29,1.18,4.33,1.2
14,12/11/2023,17:00,ECUADOR - LIGA PRO,Libertad,LDU Quito,3.8,3.6,1.85,2.0,1.83,1.83,1.06,1.4,1.3,7.0,1.1
15,12/11/2023,17:30,JAMAICA - PREMIER LEAGUE,Molynes,Mount Pleasant,6.1,3.4,1.57,1.91,1.83,1.78,1.04,1.42,1.3,7.0,1.07
16,12/11/2023,19:00,PARAGUAY - PRIMERA DIVISION,Sp. Luqueno,Libertad Asuncion,4.0,3.6,1.8,1.75,1.67,2.1,1.04,1.33,1.22,5.5,1.14
