Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,FIJI - PREMIER LEAGUE,14/04/2024,00:00,Tailevu Naitasiri,Nasinu,1.5,4.25,4.8
2,SOUTH KOREA - K LEAGUE 2,14/04/2024,04:30,Asan,Cheonan City,1.7,3.4,4.2
3,ANDORRA - PRIMERA DIVISIÓ,14/04/2024,06:00,Atletic Escaldes,Ordino,1.34,4.8,6.5
4,ANDORRA - PRIMERA DIVISIÓ,14/04/2024,08:30,FC Santa Coloma,Carroi,1.15,6.4,11.5
5,MALTA - PREMIER LEAGUE,14/04/2024,09:00,Birkirkara,Gudja,1.33,4.35,9.0
6,NORTH MACEDONIA - 1. MFL,14/04/2024,10:00,Struga,Bregalnica Stip,1.25,5.1,11.0
7,SERBIA - PRVA LIGA,14/04/2024,11:00,FK Indjija,Radnicki Beograd,1.35,4.2,7.5
8,SPAIN - LALIGA2,14/04/2024,11:15,Albacete,Tenerife,2.2,3.1,3.6
9,ITALY - SERIE C,14/04/2024,11:15,Entella,Spal,2.12,2.52,4.15
10,GHANA - PREMIER LEAGUE,14/04/2024,12:00,Nations FC,Bofoakwa Tano,1.36,3.9,8.5
11,GHANA - PREMIER LEAGUE,14/04/2024,12:00,Medeama,Legon Cities,1.47,3.4,7.2
12,GHANA - PREMIER LEAGUE,14/04/2024,12:00,Dreams,Asante Kotoko,1.78,3.15,4.4
13,SERBIA - SUPER LIGA,14/04/2024,12:00,Crvena zvezda,Zeleznicar Pancevo,1.1,8.75,18.5
14,ALBANIA - SUPERLIGA,14/04/2024,13:00,Dinamo Tirana,Erzeni,1.78,3.15,4.4
15,SENEGAL - LIGUE 1,14/04/2024,13:30,Guediawaye,Ouakam,1.83,2.87,4.6
16,ITALY - SERIE C,14/04/2024,13:30,Carrarese,Rimini,1.72,3.3,4.4
17,SPAIN - PRIMERA RFEF,14/04/2024,14:00,Celta Vigo B,Lugo,1.7,3.3,4.5
18,BELGIUM - CHALLENGER PRO LEAGUE,14/04/2024,14:15,Patro Eisden,Oostende,1.91,3.3,4.0
19,MOROCCO - BOTOLA PRO,14/04/2024,15:00,Moghreb Tetouan,IR Tanger,1.8,3.05,4.33
20,SPAIN - PRIMERA RFEF,14/04/2024,15:00,Castellon,Granada CF B,1.2,5.25,10.0
21,SPAIN - PRIMERA RFEF,14/04/2024,15:00,Antequera,Sanluqueno,2.15,2.9,3.3
22,BRAZIL - BRASILEIRO WOMEN,14/04/2024,15:00,Sao Paulo W,Botafogo RJ W,1.44,3.8,6.5
23,ITALY - SERIE C,14/04/2024,15:45,Monopoli,Taranto,2.12,2.85,3.5
24,ITALY - SERIE C,14/04/2024,15:45,Catania,ACR Messina,1.62,3.5,4.8
25,COLOMBIA - PRIMERA A,14/04/2024,16:00,Chico,Patriotas,2.1,3.0,4.0
26,SPAIN - LALIGA2,14/04/2024,16:00,Ferrol,Huesca,2.38,2.88,3.5
27,BRAZIL - SERIE A,14/04/2024,16:00,Athletico-PR,Cuiaba,1.57,3.6,7.5
28,BRAZIL - SERIE A,14/04/2024,17:00,Cruzeiro,Botafogo RJ,2.25,3.1,3.5
29,PANAMA - LPF,14/04/2024,18:00,Plaza Amador,Alianza,1.8,3.3,4.35
30,URUGUAY - PRIMERA DIVISION,14/04/2024,18:00,Penarol,Danubio,1.65,3.5,5.75
31,MEXICO - LIGA MX,14/04/2024,21:00,Atlas,Atl. San Luis,2.0,3.5,3.8
32,ARGENTINA - PRIMERA NACIONAL,14/04/2024,21:00,Def. de Belgrano,Deportivo Madryn,2.1,3.0,3.8
33,VENEZUELA - LIGA FUTVE,14/04/2024,21:30,Caracas,Universidad Central,2.18,2.95,3.45
