,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,19/01/2024,05:45,AUSTRALIA - A-LEAGUE,Sydney FC,Newcastle Jets,1.57,4.5,4.75,1.36,1.44,2.63,1.01,1.2,1.11,3.2,1.36
2,19/01/2024,16:00,NETHERLANDS - EERSTE DIVISIE,Willem II,Jong Ajax,1.33,5.5,8.0,1.4,1.67,2.1,1.02,1.22,1.11,3.4,1.3
3,19/01/2024,16:00,NETHERLANDS - EERSTE DIVISIE,Venlo,Den Haag,2.6,3.6,2.6,1.65,1.53,2.38,1.03,1.3,1.18,4.5,1.18
4,19/01/2024,16:00,NETHERLANDS - EERSTE DIVISIE,Maastricht,Jong Utrecht,1.75,3.8,4.75,1.73,1.67,2.1,1.04,1.33,1.22,5.5,1.14
5,19/01/2024,16:00,NETHERLANDS - EERSTE DIVISIE,Eindhoven FC,De Graafschap,2.75,3.75,2.38,1.65,1.57,2.25,1.03,1.3,1.2,4.5,1.18
6,19/01/2024,16:45,ENGLAND - LEAGUE TWO,Salford,Colchester,2.1,3.75,3.3,1.57,1.5,2.5,1.03,1.29,1.17,4.33,1.2
7,19/01/2024,16:45,BELGIUM - JUPILER PRO LEAGUE,Gent,KV Mechelen,1.4,4.33,7.5,1.67,1.91,1.91,1.03,1.3,1.2,5.0,1.17
8,19/01/2024,22:00,MEXICO - LIGA MX,Puebla,Necaxa,2.0,3.4,4.0,1.83,1.7,2.05,1.05,1.36,1.25,5.5,1.14
