,League,Date,Time,Home,Away,Goals_H,Goals_A,Odd_H,Odd_D,Odd_A,Odd_CS_0x1_Lay_x,IDMercado_Correct_Score,Lay_0x1,Predictions,Profit,Profit_acu
1,JAPAN - J2 LEAGUE,2024-06-02,01:00:00,Iwaki,Vegalta Sendai,1.0,2.0,2.42,3.35,3.3,13.0,1.2293768,1,1,0.94,0.94
2,JAPAN - J1 LEAGUE,2024-06-02,01:05:00,Verdy,Hokkaido Consadole Sapporo,5.0,3.0,2.34,3.6,3.25,14.0,1.229377,1,1,0.94,1.88
3,JAPAN - J2 LEAGUE,2024-06-02,02:00:00,Kusatsu,Montedio Yamagata,0.0,0.0,3.8,3.4,2.12,8.4,1.2293764,1,1,0.94,2.82
4,JAPAN - J2 LEAGUE,2024-06-02,02:00:00,Kagoshima Utd,Blaublitz,0.0,0.0,2.92,3.2,2.6,10.0,1.2293764,1,1,0.94,3.76
5,JAPAN - J2 LEAGUE,2024-06-02,02:00:00,Renofa Yamaguchi,Shimizu S-Pulse,2.0,0.0,3.9,3.45,2.06,9.8,1.2293766,1,1,0.94,4.699999999999999
6,JAPAN - J2 LEAGUE,2024-06-02,02:00:00,Mito,V-Varen Nagasaki,2.0,3.0,3.15,3.4,2.38,11.5,1.2293769,1,1,0.94,5.639999999999999
7,SOUTH KOREA - K LEAGUE 1,2024-06-02,04:30:00,Daejeon,Daegu,1.0,0.0,2.48,3.2,3.1,11.5,1.2294536,1,1,0.94,6.579999999999998
8,SOUTH KOREA - K LEAGUE 1,2024-06-02,04:30:00,Jeju Utd,Gangwon,1.0,2.0,2.6,3.35,2.92,11.5,1.2294537,1,1,0.94,7.519999999999998
9,SOUTH KOREA - K LEAGUE 2,2024-06-02,04:30:00,Anyang,Cheongju,2.0,0.0,2.02,3.35,4.1,17.0,1.2293829,1,1,0.94,8.459999999999997
10,SOUTH KOREA - K LEAGUE 2,2024-06-02,04:30:00,Busan,Suwon Bluewings,1.0,1.0,2.58,3.35,2.7,13.5,1.2294192,1,1,0.94,9.399999999999997
11,JAPAN - J1 LEAGUE,2024-06-02,05:00:00,Kawasaki Frontale,Nagoya Grampus,2.0,1.0,2.16,3.65,3.55,14.5,1.2293819,1,1,0.94,10.339999999999996
12,JAPAN - J2 LEAGUE,2024-06-02,05:00:00,Tochigi SC,Kumamoto,1.0,3.0,3.65,3.35,2.18,8.6,1.229382,1,1,0.94,11.279999999999996
13,JAPAN - J1 LEAGUE,2024-06-02,07:00:00,Kashiwa Reysol,Avispa Fukuoka,0.0,2.0,2.1,3.25,4.3,14.5,1.229414,1,1,0.94,12.219999999999995
