,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,09/12/2023,02:00,Gangwon,Gimpo FC,1.67,3.3,5.0
2,HONG KONG - PREMIER LEAGUE,09/12/2023,07:00,Eastern AA,Hong Kong Rangers,2.4,3.25,2.72
3,MALTA - PREMIER LEAGUE,09/12/2023,10:00,Valletta,Hibernians,2.7,2.95,2.62
4,SAN MARINO - CAMPIONATO SAMMARINESE,09/12/2023,11:00,Folgore,Tre Penne,,,
5,NIGERIA - NPFL,09/12/2023,11:00,Doma United,Kano Pillars,,,
6,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,09/12/2023,12:00,Al Ahli SC,Al Raed,1.36,4.75,7.0
7,ENGLAND - CHAMPIONSHIP,09/12/2023,12:00,Norwich,Preston,1.91,3.6,4.0
8,IRAQ - SUPER LEAGUE,09/12/2023,13:00,Erbil,Al Quwa Al Jawiya,,,
9,POLAND - EKSTRAKLASA,09/12/2023,13:30,Cracovia,Stal Mielec,1.73,3.6,4.2
10,SENEGAL - LIGUE 1,09/12/2023,13:30,Jamono Fatick,Dakar SC,,,
11,ITALY - SERIE C,09/12/2023,14:30,Triestina,Giana Erminio,1.55,3.8,5.9
12,SPAIN - PRIMERA RFEF,09/12/2023,16:00,Cordoba,Castellon,2.45,3.0,2.7
13,ANDORRA - PRIMERA DIVISIÓ,09/12/2023,16:30,Pas de la Casa,Atletic Escaldes,6.1,4.5,1.38
14,ITALY - SERIE C,09/12/2023,16:45,ACR Messina,Catania,3.75,3.15,2.02
