,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,25/11/2023,04:00,HK U23,North District,4.85,4.25,1.55
2,ROMANIA - LIGA 2,25/11/2023,06:00,Progresul Spartac,Steaua Bucuresti,10.0,5.0,1.28
3,PORTUGAL - TAÇA DE PORTUGAL,25/11/2023,11:00,Serpa,Gil Vicente,15.0,6.0,1.18
4,MALTA - PREMIER LEAGUE,25/11/2023,11:30,Gudja,Balzan,3.8,3.3,1.91
5,QATAR - QSL,25/11/2023,11:30,Umm-Salal,Al-Gharafa,3.4,4.15,1.85
6,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,25/11/2023,12:00,Al Hazem,Al Hilal,13.0,10.0,1.13
7,MALTA - PREMIER LEAGUE,25/11/2023,12:15,Marsaxlokk,Hamrun,5.0,3.65,1.62
8,BAHRAIN - PREMIER LEAGUE,25/11/2023,12:30,Sitra,Al Riffa,6.0,4.3,1.48
9,BAHRAIN - PREMIER LEAGUE,25/11/2023,13:00,Busaiteen,Manama Club,3.7,3.3,1.98
10,MOROCCO - BOTOLA PRO,25/11/2023,14:15,Youssoufia Berrechid,Maghreb Fez,3.25,3.1,2.2
