,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
4,28/07/2023,14:00,DENMARK - 1ST DIVISION,Hobro,Naestved,2.38,3.4,3.0,1.85,1.67
5,28/07/2023,14:00,SWEDEN - SUPERETTAN,AFC Eskilstuna,Skovde AIK,2.05,3.4,3.3,1.8,1.7
1,28/07/2023,19:00,ARGENTINA - LIGA PROFESIONAL,Belgrano,Rosario Central,2.5,3.0,3.1,2.6,2.2
3,28/07/2023,19:00,BRAZIL - SERIE B,Ceara,Ituano,1.77,3.5,4.92,2.39,2.19
2,28/07/2023,21:30,ARGENTINA - LIGA PROFESIONAL,River Plate,Racing Club,1.5,4.5,6.5,1.75,1.95
