Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ITALY - SERIE C,21/02/2024,10:00,Atalanta U23,Renate,1.95,3.05,4.2
2,SLOVENIA - PRVA LIGA,21/02/2024,11:00,O. Ljubljana,Domzale,1.4,4.65,6.8
3,ALBANIA - SUPERLIGA,21/02/2024,13:00,Skenderbeu,Dinamo Tirana,2.4,3.15,2.65
4,MOROCCO - BOTOLA PRO,21/02/2024,14:00,FUS Rabat,Moghreb Tetouan,1.83,3.2,4.0
5,CAMEROON - ELITE ONE,21/02/2024,14:00,Colombe,Dynamo Douala,2.52,2.75,2.87
6,ITALY - SERIE C,21/02/2024,14:30,Pro Sesto,Alessandria,2.57,2.8,3.0
7,BRAZIL - COPA DO BRASIL,21/02/2024,15:30,Real Brasilia,Sao Raimundo RR,2.2,3.4,2.8
8,BRAZIL - COPA DO BRASIL,21/02/2024,16:00,River-PI,Ypiranga FC,2.4,3.2,2.6
9,COSTA RICA - PRIMERA DIVISION,21/02/2024,18:00,Guanacasteca,Liberia,2.0,3.4,3.2
10,BRAZIL - COPA DO BRASIL,21/02/2024,19:30,Itabaiana,Brasiliense,2.3,3.4,2.7
11,SOUTH AMERICA - COPA LIBERTADORES,21/02/2024,21:30,Nacional Asuncion (Par),Atl. Nacional (Col),2.55,3.2,2.75
12,COLOMBIA - PRIMERA A,21/02/2024,21:45,Santa Fe,Junior,2.05,3.2,3.6
