Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,01/10/2023,07:00,SPAIN - PRIMERA RFEF,UD Ibiza,Linares,1.45,3.8,5.75,2.03,2.25,1.57,1.04,1.4,1.33,6.5,1.1
23,01/10/2023,07:15,NETHERLANDS - EERSTE DIVISIE,Venlo,Helmond,1.7,4.0,4.75,1.62,1.62,2.2,1.03,1.3,1.18,4.5,1.18
24,01/10/2023,08:00,HONG KONG - PREMIER LEAGUE,Lee Man Warriors,Hong Kong Rangers,1.42,4.65,5.8,1.42,1.57,2.1,1.01,1.21,1.21,3.05,1.28
25,01/10/2023,08:30,BELGIUM - CHALLENGER PRO LEAGUE,Waregem,Club Brugge KV U23,1.53,4.2,4.5,1.53,1.62,2.2,1.03,1.29,1.17,4.0,1.22
26,01/10/2023,08:30,BELGIUM - JUPILER PRO LEAGUE,Royale Union SG,Charleroi,1.55,4.2,5.5,1.57,1.62,2.2,1.03,1.29,1.17,4.33,1.2
27,01/10/2023,09:00,THAILAND - THAI LEAGUE 1,Chonburi,Uthai Thani,1.62,3.95,4.7,1.7,1.72,2.02,1.04,1.35,1.23,4.4,1.17
28,01/10/2023,09:00,ALBANIA - SUPERLIGA,Egnatia,Teuta,1.55,3.65,5.2,2.0,2.09,1.71,1.04,1.44,1.33,6.7,1.07
29,01/10/2023,09:00,ROMANIA - LIGA 1,Univ. Craiova,FC Botosani,1.4,4.5,6.0,1.8,2.0,1.73,1.04,1.33,1.25,5.5,1.14
30,01/10/2023,09:00,NORTH MACEDONIA - 1. MFL,Sileks,Voska Sport,1.7,3.5,4.7,1.93,1.85,1.75,1.04,1.42,1.31,7.3,1.06
32,01/10/2023,09:00,INDONESIA - LIGA 1,Persib Bandung,Persita,1.57,4.0,4.85,1.62,1.7,1.93,1.01,1.31,1.21,4.65,1.14
41,01/10/2023,09:30,AUSTRIA - BUNDESLIGA,Sturm Graz,Tirol,1.29,6.5,8.5,1.44,1.8,1.95,1.02,1.25,1.13,3.5,1.29
33,01/10/2023,10:00,NORWAY - OBOS-LIGAEN,Fredrikstad,Raufoss,1.55,4.33,5.25,1.7,1.8,1.91,1.03,1.33,1.22,5.0,1.17
34,01/10/2023,10:00,SWEDEN - SUPERETTAN,Vasteras SK,Trelleborg,1.5,4.33,6.0,1.57,1.7,2.05,1.03,1.29,1.17,4.33,1.2
35,01/10/2023,10:00,SWEDEN - ALLSVENSKAN,Sirius,Degerfors,1.6,4.33,5.0,1.53,1.62,2.2,1.03,1.29,1.17,4.0,1.22
36,01/10/2023,10:00,SERBIA - PRVA LIGA,Vrsac,Radnicki Beograd,1.57,3.65,5.1,1.93,1.95,1.81,1.03,1.42,1.28,6.0,1.09
37,01/10/2023,10:00,POLAND - EKSTRAKLASA,Rakow,Radomiak Radom,1.53,4.2,5.75,1.83,1.95,1.8,1.04,1.36,1.25,6.0,1.13
38,01/10/2023,10:00,NORWAY - OBOS-LIGAEN,Kongsvinger,Bryne,1.6,4.33,5.25,1.67,1.73,2.0,1.03,1.3,1.2,5.0,1.17
39,01/10/2023,10:00,FINLAND - YKKONEN,JaPS,KPV Kokkola,1.57,4.0,4.75,1.5,1.57,2.25,1.03,1.25,1.14,3.75,1.25
40,01/10/2023,11:00,FINLAND - YKKONEN,Gnistan,SJK Akatemia,1.4,4.5,6.0,1.4,1.5,2.5,1.02,1.2,1.11,3.25,1.33
22,01/10/2023,11:00,BELGIUM - JUPILER PRO LEAGUE,Genk,Westerlo,1.4,4.5,7.0,1.48,1.62,2.2,1.02,1.25,1.14,3.75,1.25
21,01/10/2023,11:15,ITALY - SERIE C,Virtus Francavilla,Giugliano,1.7,3.5,4.9,2.07,2.02,1.72,1.08,1.5,1.37,6.2,1.09
20,01/10/2023,11:15,ITALY - SERIE C,Cesena,Rimini,1.3,4.75,10.0,1.9,2.42,1.5,1.06,1.4,1.3,5.4,1.12
