Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,CHINA - SUPER LEAGUE,10/03/2024,04:30,Cangzhou,Chengdu Rongcheng,7.0,4.5,1.45
2,ROMANIA - LIGA 2,10/03/2024,06:00,Progresul Spartac,Unirea Slobozia,24.0,9.5,1.04
3,EGYPT - PREMIER LEAGUE,10/03/2024,11:00,El Daklyeh,Pyramids,6.2,3.55,1.55
4,MOROCCO - BOTOLA PRO,10/03/2024,12:00,Hassania Agadir,Berkane,3.8,2.9,1.91
5,AUSTRIA - BUNDESLIGA,10/03/2024,13:00,A. Klagenfurt,SK Rapid,3.75,2.8,2.38
6,SENEGAL - LIGUE 1,10/03/2024,13:30,Ouakam,Mbour,2.5,2.42,3.35
7,SENEGAL - LIGUE 1,10/03/2024,13:30,Guediawaye,Pikine,3.05,2.25,2.95
8,SENEGAL - LIGUE 1,10/03/2024,13:30,US Goree,Sonacos,2.52,2.32,3.55
9,MOROCCO - BOTOLA PRO,10/03/2024,16:00,Youssoufia Berrechid,FAR Rabat,10.0,4.75,1.25
10,COLOMBIA - PRIMERA A,10/03/2024,20:20,Jaguares de Cordoba,Millonarios,4.2,3.0,2.1
