Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,02/08/2023,08:00,VIETNAM - V.LEAGUE 1,Hong Linh Ha Tinh,Thanh Hoa,4.35,3.82,1.7,1.73,1.73,1.67,2.15
2,02/08/2023,08:00,VIETNAM - V.LEAGUE 1,Nam Dinh,Cong An,4.5,3.62,1.72,1.98,1.98,1.85,1.91
