Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,EGYPT - PREMIER LEAGUE,26/09/2023,10:00,Baladiyat El Mahalla,Smouha,2.35,3.0,3.05
2,EGYPT - PREMIER LEAGUE,26/09/2023,13:00,Future FC,El Daklyeh,1.78,3.25,4.55
3,BULGARIA - PARVA LIGA,26/09/2023,13:30,Cherno More,Botev Plovdiv,1.65,3.75,5.5
4,MALTA - PREMIER LEAGUE,26/09/2023,14:00,Floriana,Hibernians,2.27,3.45,2.8
5,SWITZERLAND - CHALLENGE LEAGUE,26/09/2023,14:30,Xamax,Baden,1.42,4.75,6.2
6,SWITZERLAND - SUPER LEAGUE,26/09/2023,15:30,Zurich,Grasshoppers,1.6,4.2,5.5
7,NORTHERN IRELAND - NIFL PREMIERSHIP,26/09/2023,15:45,Cliftonville,Coleraine,1.85,3.65,3.8
8,NORTHERN IRELAND - NIFL PREMIERSHIP,26/09/2023,15:45,Linfield,Crusaders,2.02,3.75,3.15
9,COLOMBIA - PRIMERA A,26/09/2023,20:15,U. Magdalena,Dep. Cali,2.3,3.2,3.2
10,MEXICO - LIGA DE EXPANSION MX,26/09/2023,22:05,Atletico La Paz,Tlaxcala,1.65,3.85,4.75
11,COLOMBIA - PRIMERA A,26/09/2023,22:30,Dep. Pasto,Huila,1.85,3.25,4.75
