Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,BAHRAIN - PREMIER LEAGUE,14/05/2024,13:30,Al Khalidiyah,Al-Hala,1.57,4.05,5.1
2,BRAZIL - SERIE B,14/05/2024,19:00,Vila Nova FC,Novorizontino,2.4,3.0,3.25
3,SOUTH AMERICA - COPA LIBERTADORES,14/05/2024,19:00,Talleres Cordoba (Arg),Cobresal (Chi),1.2,6.5,13.0
4,SOUTH AMERICA - COPA SUDAMERICANA,14/05/2024,19:00,Racing Montevideo (Uru),Nacional Asuncion (Par),1.73,3.5,5.0
5,SOUTH AMERICA - COPA LIBERTADORES,14/05/2024,19:00,LDU Quito (Ecu),Junior (Col),1.45,4.2,7.0
6,USA - USL CHAMPIONSHIP,14/05/2024,20:00,North Carolina,Loudoun,1.78,3.65,4.05
7,SOUTH AMERICA - COPA SUDAMERICANA,14/05/2024,21:00,Ameliano (Par),Rayo Zuliano (Ven),1.09,8.5,26.0
8,SOUTH AMERICA - COPA SUDAMERICANA,14/05/2024,21:00,Defensa y Justicia (Arg),Ind. Medellin (Col),1.91,3.4,4.0
9,SOUTH AMERICA - COPA LIBERTADORES,14/05/2024,21:30,River Plate (Arg),Libertad Asuncion (Par),1.38,5.0,7.5
10,SOUTH AMERICA - COPA SUDAMERICANA,14/05/2024,21:30,Corinthians (Bra),Argentinos Jrs (Arg),1.8,3.3,5.0
