,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,16/09/2023,02:00,Jeonbuk,Gangwon,1.6,3.8,5.5
2,SOUTH KOREA - K LEAGUE 2,16/09/2023,04:00,Seoul E-Land,Cheonan City,1.8,3.6,4.0
3,ROMANIA - LIGA 2,16/09/2023,05:00,CSM Slatina,Selimbar,2.22,3.0,3.35
4,ROMANIA - LIGA 2,16/09/2023,05:00,Gloria Buzau,Alexandria,1.47,3.95,7.0
5,ROMANIA - LIGA 2,16/09/2023,05:00,Hunedoara,CSM Resita,1.65,3.65,4.9
6,ROMANIA - LIGA 2,16/09/2023,05:00,CSC Dumbravita,Tunari,2.25,3.35,3.0
7,INDONESIA - LIGA 1,16/09/2023,09:00,Persis Solo,PSIS Semarang,2.07,3.3,3.3
8,FINLAND - YKKONEN,16/09/2023,10:00,SalPa,JJK Jyvaskyla,1.45,4.0,6.0
9,FINLAND - YKKONEN,16/09/2023,10:00,JaPS,KaPa,2.1,3.6,2.9
10,NORTH MACEDONIA - 1. MFL,16/09/2023,10:00,Shkupi,Brera Strumica,1.7,3.4,4.9
11,SWEDEN - ALLSVENSKAN,16/09/2023,10:00,Sirius,Varberg,1.5,4.75,5.75
12,BELARUS - VYSSHAYA LIGA,16/09/2023,10:00,Dynamo Brest,Naftan,1.55,4.3,5.55
13,ENGLAND - FA CUP,16/09/2023,11:00,Stourbridge,Matlock,1.98,3.6,3.25
14,ENGLAND - FA CUP,16/09/2023,11:00,Weston-super-Mare,Truro,2.12,3.45,3.05
15,ENGLAND - FA CUP,16/09/2023,11:00,Warrington,Curzon Ashton,2.5,3.4,2.52
16,ENGLAND - FA CUP,16/09/2023,11:00,Tamworth,Harborough,1.35,4.75,7.1
17,NORTHERN IRELAND - NIFL CHAMPIONSHIP,16/09/2023,11:00,Ards,Dergview,1.72,3.95,3.85
18,MONTENEGRO - PRVA CRNOGORSKA LIGA,16/09/2023,11:00,Rudar,Jezero,2.65,2.67,2.95
19,ENGLAND - FA CUP,16/09/2023,11:00,Spennymoor,Marine,1.44,4.45,5.9
20,ENGLAND - FA CUP,16/09/2023,11:00,FC United,Warrington Rylands,2.07,3.45,3.15
21,ENGLAND - FA CUP,16/09/2023,11:00,Farsley,Scarborough,2.32,3.5,2.67
22,ENGLAND - FA CUP,16/09/2023,11:00,Enfield Town,Felixstowe & Walton,2.07,3.5,3.15
23,ENGLAND - FA CUP,16/09/2023,11:00,Eastbourne Boro,Worthing,2.4,3.55,2.55
24,ENGLAND - FA CUP,16/09/2023,11:00,Dartford,Welling,2.05,3.6,3.1
25,ENGLAND - FA CUP,16/09/2023,11:00,Coalville,Stafford,1.62,4.15,4.25
26,ENGLAND - FA CUP,16/09/2023,11:00,Chippenham,Hungerford,1.8,3.95,3.6
27,ENGLAND - FA CUP,16/09/2023,11:00,Ashton Utd,Atherton,2.0,3.45,3.3
28,ENGLAND - FA CUP,16/09/2023,11:00,Macclesfield,Buxton,1.9,3.7,3.4
29,ENGLAND - FA CUP,16/09/2023,11:00,Rushall,Carlton Town,1.62,3.85,4.7
30,ENGLAND - FA CUP,16/09/2023,11:00,King’s Lynn,Aveley,2.32,3.5,2.67
31,ENGLAND - FA CUP,16/09/2023,11:00,Kettering,Sporting Khalsa,1.7,3.85,4.05
32,ENGLAND - FA CUP,16/09/2023,11:00,Hyde,Albion Sports,1.47,4.4,5.4
33,AUSTRIA - BUNDESLIGA,16/09/2023,12:00,BW Linz,Altach,2.3,3.5,3.0
34,GHANA - PREMIER LEAGUE,16/09/2023,12:00,Great Olympics,Bofoakwa Tano,1.6,3.3,5.6
35,MOROCCO - BOTOLA PRO,16/09/2023,13:00,Hassania Agadir,Moghreb Tetouan,1.8,3.0,4.5
36,ESTONIA - MEISTRILIIGA,16/09/2023,13:30,Levadia,Paide,1.65,3.4,4.8
37,SPAIN - PRIMERA RFEF,16/09/2023,14:30,CF Intercity,San Fernando,2.05,3.2,3.3
38,SPAIN - PRIMERA RFEF,16/09/2023,14:30,Real Madrid B,Atl. Madrid B,1.67,3.3,4.75
39,NETHERLANDS - EREDIVISIE,16/09/2023,15:00,PSV,Nijmegen,1.17,8.0,15.0
