,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,19/05/2024,04:00,North District,HK U23,1.26,6.1,7.5
2,NETHERLANDS - EREDIVISIE,19/05/2024,09:30,Heracles,Sittard,2.45,3.6,2.7
3,FINLAND - YKKONEN,19/05/2024,10:30,OLS Oulu,Keski-Uusimaa,1.22,5.25,9.0
4,ITALY - SERIE D,19/05/2024,11:00,Trapani,Cavese,1.62,3.1,5.8
5,NIGERIA - NPFL,19/05/2024,12:00,Rivers United,Niger Tornadoes,1.37,4.0,9.0
6,AUSTRIA - BUNDESLIGA,19/05/2024,12:00,SK Rapid,Hartberg,1.73,4.0,4.2
7,SPAIN - SEGUNDA RFEF,19/05/2024,13:00,Marbella,Getafe B,1.98,2.95,4.05
8,SENEGAL - LIGUE 1,19/05/2024,14:00,Jaraaf,Jamono Fatick,1.62,3.15,5.8
9,PERU - LIGA 1,19/05/2024,17:30,Los Chankas,Alianza Atl.,1.57,3.5,5.75
10,BRAZIL - BRASILEIRO WOMEN,19/05/2024,18:30,Ferroviaria W,America Mineiro W,1.44,4.25,5.5
