Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ROMANIA - LIGA 2,10/11/2023,11:00,Gloria Buzau,Ceahlaul,1.85,3.35,4.2
2,GEORGIA - CRYSTALBET EROVNULI LIGA,10/11/2023,12:00,Dinamo Tbilisi,Shukura,1.12,7.0,13.5
3,GHANA - PREMIER LEAGUE,10/11/2023,12:00,Accra Lions,Karela,2.0,2.95,3.65
4,MOROCCO - BOTOLA PRO,10/11/2023,12:00,Maghreb Fez,Union Touarga,2.0,2.88,3.8
5,AZERBAIJAN - PREMIER LEAGUE,10/11/2023,12:00,Araz,Kapaz,1.47,3.95,6.4
6,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,10/11/2023,12:00,Al Hilal,Al Taawon,1.29,4.75,8.0
7,BULGARIA - PARVA LIGA,10/11/2023,12:30,Lok. Plovdiv,Lok. Sofia,1.6,4.0,5.75
8,MOROCCO - BOTOLA PRO,10/11/2023,14:15,Moghreb Tetouan,Mouloudia Oujda,1.8,3.2,4.0
9,PORTUGAL - LIGA PORTUGAL 2,10/11/2023,15:00,Feirense,Os Belenenses,2.0,3.0,3.75
10,BRAZIL - SERIE B,10/11/2023,19:00,Vila Nova FC,Londrina,1.5,3.85,6.5
11,ECUADOR - LIGA PRO,10/11/2023,21:00,Orense,Mushuc Runa,1.85,3.4,4.2
12,ARGENTINA - COPA DE LA LIGA PROFESIONAL,10/11/2023,21:00,Gimnasia L.P.,Atl. Tucuman,2.25,2.9,4.0
13,BOLIVIA - DIVISION PROFESIONAL,10/11/2023,21:00,The Strongest,Libertad Gran Mamore,1.1,9.0,23.0
14,BRAZIL - SERIE B,10/11/2023,21:30,Sport Recife,Atletico GO,1.88,3.4,3.9
