,League,Round,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SWEDEN - SUPERETTAN,ROUND 18,14/08/2023,14:00,Orebro,Jonkoping,1.8,3.4,4.33
2,SWEDEN - SUPERETTAN,ROUND 18,14/08/2023,14:00,Orgryte,Skovde AIK,1.7,3.6,4.75
3,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,ROUND 1,14/08/2023,15:00,Al-Shabab,Al Akhdoud,1.5,4.2,5.75
4,ENGLAND - PREMIER LEAGUE,ROUND 1,14/08/2023,16:00,Manchester Utd,Wolves,1.29,6.0,10.0
5,BRAZIL - SERIE B,ROUND 23,14/08/2023,20:00,ABC,Ituano,2.45,2.91,3.38
6,COLOMBIA - PRIMERA A,CLAUSURA ,14/08/2023,21:40,Chico,U. Magdalena,1.62,3.5,6.5
