,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,22/11/2023,10:30,INDIA - I-LEAGUE,Churchill Brothers,TRAU FC,1.4,4.65,6.3,1.5,1.7,1.93,1.02,1.25,1.14,3.4,1.22
2,22/11/2023,12:00,SPAIN - PRIMERA RFEF,Sanluqueno,Cordoba,3.0,3.25,2.15,2.15,2.0,1.73,1.07,1.5,1.36,7.5,1.07
3,22/11/2023,18:00,COSTA RICA - PRIMERA DIVISION,Guanacasteca,Liberia,1.91,3.6,4.0,1.88,1.8,1.91,1.05,1.4,1.25,6.0,1.13
4,22/11/2023,18:00,MEXICO - LIGA DE EXPANSION MX,Zacatecas Mineros,Cancun,1.8,3.9,3.75,1.65,1.62,2.15,1.04,1.32,1.21,4.2,1.19
