Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,25/11/2023,04:00,HK U23,North District,4.85,4.25,1.55
2,ROMANIA - LIGA 2,25/11/2023,06:00,Progresul Spartac,Steaua Bucuresti,10.0,5.0,1.28
3,ROMANIA - LIGA 2,25/11/2023,06:30,Tunari,Chindia Targoviste,4.5,3.2,1.83
4,BULGARIA - PARVA LIGA,25/11/2023,07:30,Botev Vratsa,Lok. Plovdiv,3.6,3.6,1.95
5,THAILAND - THAI LEAGUE 1,25/11/2023,08:00,Chonburi,Pathum United,2.77,3.7,2.22
6,NORTH MACEDONIA - 1. MFL,25/11/2023,09:00,Bregalnica Stip,Shkendija,4.75,3.0,1.82
7,MALTA - PREMIER LEAGUE,25/11/2023,09:00,Sirens,Hibernians,5.4,3.75,1.57
8,NETHERLANDS - TWEEDE DIVISIE,25/11/2023,11:00,Rijnsburgse Boys,Hardenberg,3.65,3.5,1.9
9,MALTA - PREMIER LEAGUE,25/11/2023,11:30,Gudja,Balzan,3.8,3.3,1.91
10,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,25/11/2023,12:00,Al Hazem,Al Hilal,13.0,10.0,1.13
11,BAHRAIN - PREMIER LEAGUE,25/11/2023,13:00,Busaiteen,Manama Club,3.7,3.3,1.98
12,QATAR - QSL,25/11/2023,13:30,Muaither SC,Al Rayyan,5.7,4.6,1.45
13,RUSSIA - PREMIER LEAGUE,25/11/2023,13:45,Baltika,Spartak Moscow,3.6,3.6,2.17
14,MOROCCO - BOTOLA PRO,25/11/2023,14:15,Youssoufia Berrechid,Maghreb Fez,3.25,3.1,2.2
