Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ITALY - SERIE C,23/03/2024,10:00,Virtus Francavilla,Monterosi,1.95,3.3,3.8
2,ITALY - SERIE C,23/03/2024,10:00,Giana Erminio,Alessandria,1.82,3.3,4.4
3,ITALY - SERIE C,23/03/2024,10:00,Lumezzane,Virtus Verona,2.22,2.92,3.45
4,ITALY - SERIE C,23/03/2024,10:00,ACR Messina,Foggia,2.45,3.15,2.85
5,ITALY - SERIE C,23/03/2024,10:00,Benevento,Monopoli,1.4,4.15,7.8
6,SERBIA - PRVA LIGA,23/03/2024,11:00,Vrsac,Dubocica,1.95,3.05,3.7
7,NETHERLANDS - TWEEDE DIVISIE,23/03/2024,11:00,ADO 20 Heemskerk,Excelsior Maassluis,2.07,3.75,2.95
8,NETHERLANDS - TWEEDE DIVISIE,23/03/2024,11:00,Spakenburg,Lisse,1.25,5.6,9.0
9,NETHERLANDS - TWEEDE DIVISIE,23/03/2024,11:00,Rijnsburgse Boys,HFC,2.32,3.75,2.57
10,NETHERLANDS - TWEEDE DIVISIE,23/03/2024,11:30,Jong Sparta Rotterdam,Noordwijk,2.15,3.6,2.85
11,NIGERIA - NPFL,23/03/2024,12:00,Doma United,Gombe,1.87,3.2,4.15
12,SCOTLAND - LEAGUE ONE,23/03/2024,12:00,Falkirk,Edinburgh City,1.03,12.0,34.0
13,SCOTLAND - LEAGUE ONE,23/03/2024,12:00,Annan,Kelty Hearts,2.15,3.5,2.8
14,SCOTLAND - LEAGUE TWO,23/03/2024,12:00,Dumbarton,Bonnyrigg Rose,1.62,3.6,5.0
15,ENGLAND - LEAGUE TWO,23/03/2024,12:00,Notts Co,Salford,2.0,4.2,3.2
16,ENGLAND - LEAGUE TWO,23/03/2024,12:00,Sutton,Accrington,2.1,3.5,3.4
17,SCOTLAND - CHAMPIONSHIP,23/03/2024,12:00,Dundee Utd,Inverness,1.4,4.33,5.25
18,NORTHERN IRELAND - NIFL CHAMPIONSHIP,23/03/2024,12:00,H&W Welders,Institute,2.07,3.75,2.95
19,NORTHERN IRELAND - NIFL PREMIERSHIP,23/03/2024,12:00,Glenavon,Loughgall,1.75,3.9,3.9
20,SCOTLAND - CHAMPIONSHIP,23/03/2024,12:00,Morton,Dunfermline,2.0,3.4,3.1
21,ITALY - SERIE C,23/03/2024,13:30,Torres,Vis Pesaro,1.5,3.85,6.7
22,ITALY - SERIE C,23/03/2024,13:30,Pescara,Pontedera,1.82,3.5,4.1
23,ITALY - SERIE C,23/03/2024,13:30,L.R. Vicenza,Legnago Salus,1.6,3.6,5.6
24,BRAZIL - BRASILEIRO WOMEN,23/03/2024,15:00,Real Brasilia W,Avai Kindermann W,1.52,3.9,5.0
25,USA - MLS,23/03/2024,15:00,New York Red Bulls,Inter Miami,2.3,3.6,2.9
26,ARGENTINA - PRIMERA NACIONAL,23/03/2024,15:30,CA Estudiantes,Arsenal Sarandi,2.8,2.88,3.0
27,ARGENTINA - PRIMERA NACIONAL,23/03/2024,15:30,San Miguel,Agropecuario,2.55,2.88,3.2
28,COLOMBIA - PRIMERA A,23/03/2024,16:00,Millonarios,Dep. Cali,1.57,4.0,6.0
29,ARGENTINA - PRIMERA NACIONAL,23/03/2024,16:00,San Telmo,Almagro,2.1,3.0,3.8
30,NETHERLANDS - EERSTE DIVISIE,23/03/2024,16:00,Willem II,Venlo,1.53,4.2,6.0
31,NETHERLANDS - EERSTE DIVISIE,23/03/2024,16:00,Cambuur,Telstar,1.73,4.0,4.5
32,NETHERLANDS - EERSTE DIVISIE,23/03/2024,16:00,Maastricht,Den Bosch,1.95,3.8,3.5
33,USA - USL CHAMPIONSHIP,23/03/2024,17:00,Louisville City,Pittsburgh,2.02,3.35,3.45
34,ARGENTINA - PRIMERA NACIONAL,23/03/2024,17:00,Deportivo Maipu,Tristan Suarez,2.5,3.1,3.1
35,VENEZUELA - LIGA FUTVE,23/03/2024,17:00,Metropolitanos,Rayo Zuliano,1.7,3.45,4.8
36,USA - USL CHAMPIONSHIP,23/03/2024,17:00,Detroit,Loudoun,1.9,3.55,3.7
37,CHILE - PRIMERA DIVISION,23/03/2024,18:00,Everton,Palestino,2.38,3.25,3.1
38,PANAMA - LPF,23/03/2024,18:00,Tauro,Independiente,2.35,3.25,2.77
39,VENEZUELA - LIGA FUTVE,23/03/2024,20:00,Carabobo,Estudiantes Merida,1.65,3.45,5.2
40,ECUADOR - LIGA PRO,23/03/2024,20:00,EL Nacional,Dep. Cuenca,1.91,3.25,3.5
41,COLOMBIA - PRIMERA A,23/03/2024,20:20,Jaguares de Cordoba,Fortaleza,2.25,3.0,3.6
42,USA - USL CHAMPIONSHIP,23/03/2024,20:30,Charleston,New Mexico,1.78,3.6,4.15
43,USA - MLS,23/03/2024,20:30,Toronto FC,Atlanta Utd,2.2,3.6,3.0
44,USA - MLS,23/03/2024,21:30,St. Louis City,DC United,2.0,3.6,3.75
45,MEXICO - LIGA DE EXPANSION MX,23/03/2024,22:05,Correcaminos,Venados,2.25,3.2,3.1
46,PANAMA - LPF,23/03/2024,22:30,Miguelito,Deportivo Universitario,2.25,3.1,3.1
47,FIJI - PREMIER LEAGUE,23/03/2024,23:00,Rewa,Labasa,1.95,2.77,4.25
48,USA - USL CHAMPIONSHIP,23/03/2024,23:00,Orange County SC,Miami FC,1.75,3.5,4.5
