League,Date,Time,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under05_HT,Odd_Over05_HT,Odd_Under15_HT,Odd_Over15_HT,Odd_Under25_HT,Odd_Over25_HT,Odd_Under05,Odd_Over05,Odd_Under15,Odd_Over15,Odd_Under25,Odd_Over25,Odd_Under45,Odd_Over45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_CS_0x0,Odd_CS_0x1,Odd_CS_0x2,Odd_CS_0x3,Odd_CS_1x0,Odd_CS_1x1,Odd_CS_1x2,Odd_CS_1x3,Odd_CS_2x0,Odd_CS_2x1,Odd_CS_2x2,Odd_CS_2x3,Odd_CS_3x0,Odd_CS_3x1,Odd_CS_3x2,Odd_CS_3x3,Odd_CS_Goleada_H,Odd_CS_Goleada_A,Odd_CS_Goleada_D,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
Serbian Super League,2024-04-08,11:00:00,FK IMT Novi Beograd,FK Napredak,1.95,4.1,3.25,2.44,1.4,1.37,3.2,1.07,1.25,3.15,1.07,3.15,1.38,1.75,2.12,1.09,3.5,1.93,1.92,3.9,3.95,4.4,4.7,7.0,6.6,4.1,4.7,3.95,9.0,4.2,4.6,4.3,4.3,4.6,4.7,3.9,3.9,4.5,0.51282054,0.30769232,0.24390244,0.4716981,0.5714286,0.5181347,0.5208333,1.6666666,2.102564,0.6,1.2615385,0.47560975,0.79268295,0.6523077,0.53846157,0.32335642,0.25,0.3553719,0.11564626,0.21042831,0.47560975,1.2615385,0.6,0.9198113,1.9339622,0.6523077,1.0984457,9.3,-0.13978495,0.09139785,0.20967741,0.4408602,0.3492969,1.0828204,0.3540542,2.6523573,33.02387,0.52325904,10.481218,2.6523573,0.85,1.3,1,1.0
Romanian Liga I,2024-04-08,11:30:00,Poli Iasi,FC U Craiova 1948,2.32,3.25,3.25,3.0,1.46,1.36,3.0,1.08,1.25,3.35,1.07,3.35,1.35,1.79,2.06,1.09,7.6,1.77,1.96,8.8,9.2,16.0,4.3,7.2,6.4,10.5,4.6,11.0,9.6,13.5,4.4,4.5,19.5,4.4,4.4,3.9,4.2,4.6,0.43103448,0.30769232,0.30769232,0.4854369,0.5586592,0.56497175,0.5102041,1.4008621,1.4008621,0.71384615,1.0,0.71384615,1.0,0.63384616,0.5507692,0.16669437,0.16696589,0.16696589,0.0,0.22410546,0.71384615,1.0,0.71384615,1.1262136,1.5776699,0.63384616,1.1638418,8.82,-0.105442174,0.0,0.26303855,0.3684807,0.18263121,0.53693575,0.22835588,1.3152186,24.938427,0.38183767,7.688448,1.3152186,0.0,0.93,1,1.0
Estonian Esiliiga,2024-04-08,13:00:00,Tallinna Kalev II,Flora Tallinn II,1.08,1.06,1.23,3.8,1.23,1.03,1.03,1.18,1.25,1.28,1.01,1.28,1.02,1.27,1.03,1.05,1.21,1.14,1.14,1.49,1.1,1.1,1.1,1.1,1.1,1.1,1.1,2.7,3.95,1.1,1.1,1.1,1.1,1.1,8.2,1.01,1.01,1.1,0.9259259,0.8130081,0.9433962,0.9708738,0.78740156,0.877193,0.877193,1.1388888,0.9814815,0.8780488,0.86178863,1.018868,1.1603774,0.83739835,1.0325203,0.0646336,0.064935066,0.009345794,0.074235804,0.088495575,1.018868,0.86178863,0.8780488,1.0485437,1.0291262,0.83739835,0.9035088,3.37,-0.044510387,-0.050445102,0.32047477,0.31454006,0.082714304,0.092915736,0.08097205,0.22759613,4.289153,0.33941126,-6.8427734,0.22759613,0.17,0.15,1,1.0
Serbian Super League,2024-04-08,13:30:00,FK Javor Ivanjica,Mladost Lucani,2.04,3.6,3.2,2.06,1.5,1.31,1.03,1.07,1.25,1.16,1.08,2.32,1.42,1.62,2.22,1.05,2.22,1.96,1.76,4.4,10.0,5.8,1.96,6.6,6.2,5.3,4.4,4.8,4.5,5.8,4.5,4.1,4.1,2.86,2.0,1.56,1.47,1.66,0.49019608,0.3125,0.2777778,0.45045045,0.61728394,0.5102041,0.5681818,1.5686275,1.7647059,0.6375,1.125,0.56666666,0.8888889,0.69375,0.50625,0.25832295,0.22137405,0.27659574,0.05882353,0.18081181,0.56666666,1.125,0.6375,0.9189189,1.6216216,0.69375,1.1326531,8.84,-0.13122173,0.04524887,0.23076923,0.40723982,0.27497765,0.81026745,0.27297822,1.9847418,30.113733,0.84852815,16.699244,1.9847418,0.4,1.16,1,1.0
Polish Ekstraklasa,2024-04-08,14:00:00,Zaglebie Lubin,Gornik Zabrze,2.36,3.15,3.45,3.15,1.43,1.39,2.9,1.11,7.2,10.0,1.06,3.45,1.31,1.82,1.95,1.1,6.4,1.79,2.1,9.8,10.0,17.0,4.9,8.6,6.8,11.0,27.0,12.5,9.6,14.5,5.0,25.0,19.0,5.1,26.0,4.1,4.4,4.9,0.42372882,0.28985506,0.31746033,0.51282054,0.5494506,0.5586592,0.47619048,1.4618644,1.3347458,0.68405795,0.9130435,0.74920636,1.0952381,0.5652174,0.5275362,0.16792618,0.18760757,0.14337568,0.045454547,0.2777778,0.74920636,0.9130435,0.68405795,1.2102565,1.6153846,0.5652174,1.0893855,8.96,-0.12165178,-0.03348214,0.26339287,0.3515625,0.18852359,0.5630571,0.25401956,1.3792027,28.590384,0.18384777,3.718994,1.3792027,0.3,1.09,1,1.0
Swedish Allsvenskan,2024-04-08,14:00:00,Kalmar FF,Sirius,2.42,3.0,3.6,3.3,1.4,1.49,2.8,1.1,7.6,12.5,1.06,4.1,1.27,2.08,1.82,1.15,6.2,1.7,2.28,14.0,12.0,19.0,27.0,10.5,7.6,12.0,26.0,14.5,10.5,15.0,24.0,26.0,21.0,29.0,34.0,14.0,18.0,9.6,0.41322315,0.2777778,0.33333334,0.5494506,0.48076922,0.5882353,0.4385965,1.4876033,1.2396694,0.6722222,0.8333333,0.8066667,1.2,0.50555557,0.5777778,0.16281408,0.19601329,0.10701107,0.09090909,0.32841328,0.8066667,0.8333333,0.6722222,1.3296703,1.6483517,0.50555557,1.0705882,9.02,-0.1308204,-0.06651885,0.2682927,0.33259425,0.19624,0.5900282,0.2820244,1.4452682,30.540606,0.36769554,-7.4069123,1.4452682,0.6,1.18,1,1.0
Swedish Allsvenskan,2024-04-08,14:00:00,Varnamo,GAIS,2.28,3.2,3.7,3.0,1.39,1.46,2.68,1.12,7.0,12.5,1.05,4.1,1.28,2.06,1.86,1.15,6.4,1.68,2.28,14.0,13.0,21.0,44.0,10.5,7.8,12.5,28.0,13.5,10.0,15.5,38.0,26.0,21.0,30.0,34.0,14.5,25.0,16.5,0.4385965,0.27027026,0.3125,0.53763443,0.4854369,0.5952381,0.4385965,1.622807,1.4035088,0.61621624,0.8648649,0.7125,1.15625,0.5027027,0.55675673,0.210029,0.2374582,0.16788322,0.072463766,0.33093524,0.7125,0.8648649,0.61621624,1.2258065,1.7204301,0.5027027,1.1071428,9.18,-0.1546841,-0.054466233,0.24836601,0.34858388,0.23538488,0.7202777,0.30440533,1.7643129,35.374752,0.28284273,-5.710593,1.7643129,0.5,1.42,1,1.0
Swedish Allsvenskan,2024-04-08,14:10:00,Djurgardens,Hacken,1.81,4.3,4.1,3.35,1.33,1.58,2.46,1.15,5.9,15.5,1.04,4.8,1.19,2.38,1.65,1.22,4.9,1.64,2.4,18.5,18.5,32.0,36.0,11.0,8.8,16.0,40.0,11.5,9.4,15.0,42.0,18.5,15.5,25.0,32.0,8.0,30.0,18.5,0.5524862,0.24390244,0.23255815,0.6060606,0.42016807,0.6097561,0.41666666,2.2651935,2.3756907,0.4414634,1.0487804,0.42093024,0.95348835,0.40243903,0.5804878,0.43213323,0.38747886,0.40752864,0.023809524,0.42608696,0.42093024,1.0487804,0.4414634,1.0969697,2.6060605,0.40243903,1.0060976,10.21,-0.22428991,0.019588638,0.17727718,0.42115572,0.4065091,1.3834859,0.48225412,3.3888347,48.867256,1.0323759,-20.052082,3.3888347,0.2,2.29,1,1.0
Romanian Liga I,2024-04-08,14:30:00,Otelul Galati,Dinamo Bucharest,2.26,3.75,2.96,2.56,1.61,1.27,3.4,1.05,1.25,6.8,1.1,2.54,1.52,1.51,2.5,1.05,10.0,2.08,1.7,6.6,8.6,4.7,5.0,6.0,6.0,14.5,4.9,10.5,10.0,18.0,4.9,4.8,4.8,4.8,5.1,4.6,5.0,5.2,0.44247788,0.33783785,0.26666668,0.4,0.66225165,0.48076922,0.5882353,1.3097345,1.659292,0.7635135,1.2668918,0.6026667,0.78933334,0.8445946,0.5101351,0.20689988,0.13409962,0.24792013,0.11773472,0.08424909,0.6026667,1.2668918,0.7635135,0.904,1.5,0.8445946,1.2019231,8.97,-0.0780379,0.08807135,0.25195095,0.4180602,0.24931535,0.7454529,0.22881208,1.8259792,19.290047,1.4000714,26.33541,1.8259792,0.79,0.7,1,1.0
Dutch Eerste Divisie,2024-04-08,15:00:00,Jong AZ Alkmaar,Emmen,2.52,2.76,3.8,3.3,1.31,1.56,2.48,1.14,6.0,13.5,1.04,1.14,1.1,2.28,1.67,1.15,2.6,1.58,2.36,16.5,12.5,17.0,6.0,12.5,7.6,10.5,5.6,15.5,10.0,13.0,5.9,6.0,5.5,5.9,40.0,5.0,5.1,6.8,0.3968254,0.2631579,0.36231884,0.5988024,0.4385965,0.6329114,0.42372882,1.5079365,1.0952381,0.6631579,0.7263158,0.9130435,1.3768116,0.4394737,0.6,0.1662643,0.20253165,0.045454547,0.15853658,0.3893967,0.9130435,0.7263158,0.6631579,1.5089821,1.6526946,0.4394737,1.056962,9.08,-0.14096916,-0.11453745,0.27753305,0.30396476,0.22479913,0.680392,0.32624695,1.6666133,32.619244,0.8626703,-16.961706,1.6666133,1.04,1.28,1,1.0
