,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A
1,EGYPT - PREMIER LEAGUE,2024-05-03,11:00,El Gaish,El Daklyeh,1.78,3.1,4.9
2,EGYPT - PREMIER LEAGUE,2024-05-03,14:00,Al Masry,Smouha,2.12,3.15,3.3
3,SCOTLAND - LEAGUE TWO,2024-05-03,16:45,Stranraer,Dumbarton,2.88,3.5,2.15
4,SCOTLAND - LEAGUE TWO,2024-05-03,16:45,Bonnyrigg Rose,Spartans,2.75,3.4,2.3
5,ARGENTINA - COPA DE LA LIGA PROFESIONAL,2024-05-03,19:00,Barracas Central,Independiente,3.25,3.0,2.45
6,ARGENTINA - COPA DE LA LIGA PROFESIONAL,2024-05-03,20:00,Racing Club,Sarmiento Junin,1.55,3.75,7.0
7,ARGENTINA - COPA DE LA LIGA PROFESIONAL,2024-05-03,21:30,Velez Sarsfield,Rosario Central,1.909999966621399,3.299999952316284,4.329999923706055
