Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,MEXICO - LIGA DE EXPANSION MX,11/04/2024,00:05,Leones Negros,Tepatitlan de Morelos,1.33,4.9,7.9
2,CAMEROON - ELITE ONE,11/04/2024,10:00,Aigle Royal,APEJES Academy,1.65,3.0,5.7
3,GHANA - PREMIER LEAGUE,11/04/2024,15:00,Asante Kotoko,Nsoatreman,1.72,3.15,4.75
4,SOUTH AMERICA - COPA SUDAMERICANA,11/04/2024,19:00,Lanus (Arg),Deportivo Garcilaso (Per),1.22,6.5,11.0
5,SOUTH AMERICA - COPA LIBERTADORES,11/04/2024,19:00,Bolivar (Bol),Millonarios (Col),1.53,4.4,5.9
6,SOUTH AMERICA - COPA LIBERTADORES,11/04/2024,19:00,LDU Quito (Ecu),Botafogo RJ (Bra),1.65,3.8,5.6
7,SOUTH AMERICA - COPA LIBERTADORES,11/04/2024,21:00,River Plate (Arg),Nacional (Uru),1.4,4.5,8.5
8,SOUTH AMERICA - COPA LIBERTADORES,11/04/2024,21:00,Palmeiras (Bra),Liverpool M. (Uru),1.18,6.7,19.0
9,SOUTH AMERICA - COPA SUDAMERICANA,11/04/2024,21:00,Coquimbo (Chi),Sp. Luqueno (Par),2.0,3.5,3.75
10,SOUTH AMERICA - COPA SUDAMERICANA,11/04/2024,21:00,Cruzeiro (Bra),Alianza (Col),1.3,5.5,10.0
