Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,17/12/2023,04:00,North District,Hong Kong FC,1.53,4.4,4.75
2,INDONESIA - LIGA 1,17/12/2023,09:00,Barito Putera,Arema FC,1.62,3.9,4.7
3,ALBANIA - SUPERLIGA,17/12/2023,09:30,KF Tirana,Vllaznia,1.9,3.25,3.6
4,ALBANIA - SUPERLIGA,17/12/2023,09:30,Erzeni,Teuta,2.2,3.0,3.1
5,REPUBLIC OF THE CONGO - LIGUE 1,17/12/2023,11:00,V. Club Mokanda,Cheminots,1.5,3.77,5.62
6,NIGERIA - NPFL,17/12/2023,12:00,Heartland,Akwa United,1.75,3.05,5.2
7,NIGERIA - NPFL,17/12/2023,12:00,Lobi Stars,Doma United,1.72,3.1,5.5
8,NIGERIA - NPFL,17/12/2023,12:00,Sunshine Stars,Gombe,1.57,3.15,7.3
9,ANDORRA - PRIMERA DIVISIÓ,17/12/2023,12:00,FC Santa Coloma,Pas de la Casa,1.04,10.2,27.0
10,BAHRAIN - PREMIER LEAGUE,17/12/2023,13:00,Al Khalidiyah,Al-Shabbab,1.42,4.35,6.7
11,POLAND - EKSTRAKLASA,17/12/2023,13:30,Legia,Cracovia,1.62,3.8,5.0
12,SENEGAL - LIGUE 1,17/12/2023,13:30,Guediawaye,Linguere,2.62,2.52,3.0
13,MOROCCO - BOTOLA PRO,17/12/2023,14:00,FAR Rabat,Hassania Agadir,1.25,4.33,11.0
14,ITALY - SERIE C,17/12/2023,14:30,Arzignano,Pro Vercelli,2.57,2.82,3.0
15,ITALY - SERIE C,17/12/2023,14:30,Avellino,Taranto,1.85,3.05,4.65
16,ANDORRA - PRIMERA DIVISIÓ,17/12/2023,14:30,Inter Escaldes,Carroi,1.05,7.9,29.0
17,BELGIUM - JUPILER PRO LEAGUE,17/12/2023,15:15,Genk,Kortrijk,1.22,6.5,10.0
18,ITALY - SERIE C,17/12/2023,16:45,Padova,Fiorenzuola,1.37,4.35,8.25
19,ITALY - SERIE C,17/12/2023,16:45,Virtus Verona,Pro Patria,1.93,3.1,4.15
20,ITALY - SERIE C,17/12/2023,16:45,Carrarese,Lucchese,1.8,3.2,4.7
21,SPAIN - LALIGA2,17/12/2023,17:00,Ferrol,Tenerife,2.4,3.0,3.3
