,League,Round,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,QATAR - QSL,ROUND 1,16/08/2023,14:30,Al Arabi,Shamal,1.32,5.2,8.35
2,ARGENTINA - PRIMERA NACIONAL,ROUND 29,16/08/2023,15:30,Nueva Chicago,San Martin S.J.,2.1,3.0,4.0
3,ARGENTINA - PRIMERA NACIONAL,ROUND 29,16/08/2023,17:30,Deportivo Moron,Club A. Guemes,1.83,3.5,4.33
4,ECUADOR - LIGA PRO,SECOND STAGE ,16/08/2023,18:30,Mushuc Runa,Guayaquil City,1.7,4.0,4.5
5,PERU - LIGA 1,CLAUSURA ,16/08/2023,19:30,Carlos Mannucci,Cusco,2.2,3.2,3.25
6,BRAZIL - COPA DO BRASIL,SEMI-FINALS,16/08/2023,19:30,Sao Paulo,Corinthians,1.67,3.5,6.0
7,PERU - LIGA 1,CLAUSURA ,16/08/2023,20:00,Deportivo Garcilaso,Sport Boys,1.44,4.5,7.0
8,ECUADOR - LIGA PRO,SECOND STAGE ,16/08/2023,21:00,Orense,Gualaceo,1.85,3.6,4.2
9,BRAZIL - COPA DO BRASIL,SEMI-FINALS,16/08/2023,21:30,Flamengo RJ,Gremio,1.85,3.8,4.0
